브랜드,유통채널,채널명,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비 합계,직접이익
I,1.0,백화점,3758230561.0,3507409392.0,3188553209.0,2029607431.0,935574401.0,1094033030,376283838.0,0.0,0.0,0.0,64102115.0,12684134.0,71502780.0,0.0,0.0,121776446.0,0.0,0.0,0.0,37042000.0,683391313,410641717
I,2.0,면세점,1152912946.0,1151761973.0,1047055276.0,628231766.0,269658607.0,358573159,0.0,0.0,0.0,136630623.0,21049752.0,4164892.0,23479774.0,0.0,0.0,37693906.0,0.0,1275000.0,0.0,2153000.0,226446947,132126212
I,3.0,직영점(가두),164020800.0,163600336.0,148727534.0,148727534.0,41090522.0,107637012,0.0,0.0,11366984.0,0.0,2989708.0,591847.0,3335353.0,0.0,0.0,5800374.0,12816126.0,0.0,0.0,1048000.0,37948392,69688620
I,4.0,자사몰,399492211.0,347213824.0,315670501.0,315670501.0,99434602.0,216235899,0.0,0.0,0.0,0.0,6345879.0,1255467.0,7079136.0,0.0,0.0,12311150.0,0.0,0.0,0.0,0.0,26991632,189244267
I,5.0,제휴몰,1237816910.0,1220885828.0,1109895559.0,1109895559.0,304098978.0,805796581,0.0,0.0,0.0,0.0,22313377.0,4415097.0,24889287.0,0.0,326101006.0,43285927.0,0.0,0.0,0.0,0.0,421004694,384791887
I,6.0,대리점,1058775201.0,998250327.0,907500499.0,588184544.0,265944931.0,322239613,0.0,0.0,0.0,0.0,18244737.0,3610127.0,20350022.0,0.0,0.0,35291073.0,0.0,0.0,0.0,0.0,77495959,244743654
I,8.0,사입,816770999.0,217354999.0,197595304.0,197595304.0,141918534.0,55676770,0.0,0.0,0.0,0.0,3973250.0,786825.0,4431870.0,0.0,0.0,11855718.0,0.0,0.0,0.0,0.0,21047663,34629107
I,11.0,직영몰,392304461.0,367505246.0,334095391.0,334095391.0,96350875.0,237744516,0.0,39365849.0,0.0,0.0,6716306.0,1328670.0,7492351.0,3964125.0,0.0,13029720.0,79667330.0,0.0,12295444.0,5853000.0,169712795,68031721
I,99.0,기타,446106170.0,12031773.0,10937937.0,10937937.0,37694685.0,-26756748,0.0,0.0,0.0,0.0,219940.0,43555.0,0.0,0.0,0.0,656276.0,0.0,0.0,0.0,0.0,919771,-27676519
M,1.0,RF,1052744339.0,956422172.0,869474194.0,553162726.0,174913082.0,378249644,84936884.0,0.0,0.0,0.0,16300173.0,5781712.0,18262155.0,0.0,0.0,38721391.0,0.0,300521.0,0.0,9990248.0,174293084,203956560
