브랜드,W,W,W
Version,F12_2025_R,F12_2025_R,F12_2025_R
채널,Unassigned,온라인(자사),온라인(제휴)
Measure units,합계,합계,합계
TAG가 [v+],1500000,450000,1050000
실판매액 [v+],300000,90000,210000
실판매액 [v-],272727,81818,190909
수수료차감매출 [v-],272727,81818,190909
할인율(%),80,80,80
출고율(%),100,100,100
매출(출고),272727,81818,190909
매출원가,404568,121370,283197
재고평가감_환입,135679,40704,94975
재고평가감_설정,26111,,
재고자산평가,-109569,-40704,-94975
원가,294999,80666,188222
매출원가율(%),148.34,148.34,148.34
직접제조원가율(%),29.67,29.67,29.67
매출총이익,-22272,1152,2687
매출총이익율(%),-8.17,1.41,1.41
지급수수료_물류용역비,25088,7526,17561
지급수수료_물류운송비,22244,6673,15571
지급수수료_이천보관료,15483,4645,10838
지급수수료_카드수수료,1968,1968,
지급수수료_온라인위탁판매수수료,54352,,54352
지급수수료_로열티,10227,3068,7159
직접비,129361,23881,105481
직접이익,-151633,-22729,-102794
직접이익율(%),-55.6,-27.78,-53.84
일반 관리비,37224,12067,25157
영업이익,-188857,-34795,-127951
영업이익율(%),-69.25,-42.53,-67.02
