브랜드,V,V,V,V,V,V,V
Version,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R
채널,Unassigned,(브랜드) 백화점,직영점(가두),온라인(자사),온라인(제휴),아울렛(직영),직영(가두)2
Measure units,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],10615216,3979444,95579,838887,1829887,3276253,595166
실판매액 [v+],6800000,3335000,80000,549999,1200001,1260000,375000
실판매액 [v-],6181818,3031818,72727,499999,1090910,1145455,340909
수수료차감매출 [v-],5526968,2376968,72727,499999,1090910,1145455,340909
할인율(%),35.94,16.19,16.3,34.44,34.42,61.54,36.99
출고율(%),89.41,78.4,100,100,100,100,100
매출(출고),5526968,2376968,72727,499999,1090910,1145455,340909
매출원가,2144839,804251,19056,169128,369179,663017,120208
재고평가감_환입,370390,1657,,27776,61890,256415,22651
재고평가감_설정,119493,,,,,,
재고자산평가,-250897,-1657,,-27776,-61890,-256415,-22651
원가,1893942,802594,19056,141352,307290,406602,97557
매출원가율(%),34.7,26.53,26.2,33.83,33.84,57.88,35.26
직접제조원가율(%),22.23,22.23,21.93,22.18,22.19,22.26,22.22
매출총이익,3633026,1574374,53672,358647,783620,738853,243352
매출총이익율(%),58.77,51.93,73.8,71.73,71.83,64.5,71.38
지급수수료_중간관리수수료,236426,236426,,,,,
지급수수료_중간관리수수료(직영),152513,,,,,125444,27070
지급수수료_물류용역비,26139,12820,308,2114,4613,4843,1442
지급수수료_물류운송비,32033,15710,377,2591,5653,5936,1767
지급수수료_이천보관료,54502,26730,641,4408,9618,10099,3006
지급수수료_카드수수료,248477,,,13000,228121,1171,6186
지급수수료_로열티,154545,75795,1818,12500,27273,28636,8523
지급임차료_매장(변동),207185,,15273,,,123731,68182
지급임차료_관리비,17842,,,,,12053,5789
감가상각비_임차시설물,29415,18059,,,,4168,7188
직접비,1159078,385540,18416,34613,275277,316080,129151
직접이익,2473948,1188834,35255,324034,508343,422773,114201
직접이익율(%),40.02,39.21,48.48,64.81,46.6,36.91,33.5
일반 관리비,1349453,623666,28689,102769,224223,235628,134479
영업이익,1124495,565168,6566,221265,284120,187145,-20277
영업이익율(%),18.19,18.64,9.03,44.25,26.04,16.34,-5.95
