브랜드,ST,ST,ST,ST,ST,ST,ST,ST
Version,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R,F12_2025_R
채널,Unassigned,(브랜드) 백화점,(브랜드) 면세점,직영점(가두),온라인(자사),온라인(제휴),아울렛(직영),직영(가두)2
Measure units,합계,합계,합계,합계,합계,합계,합계,합계
TAG가 [v+],1403219,17290,153839,105882,256398,178377,336535,354899
실판매액 [v+],800000,10000,90000,90000,150000,110000,145000,205000
실판매액 [v-],727273,9091,81818,81818,136364,100000,131818,186364
수수료차감매출 [v-],689100,6100,46636,81818,136364,100000,131818,186364
할인율(%),42.99,42.16,41.5,15,41.5,38.33,56.91,42.24
출고율(%),94.75,67.1,57,100,100,100,100,100
매출(출고),689100,6100,46636,81818,136364,100000,131818,186364
매출원가,348693,4295,38262,26335,63770,43963,83907,88162
재고평가감_환입,65145,814,7329,,12215,8251,19842,16694
재고평가감_설정,130198,,,,,,,
재고자산평가,65053,-814,-7329,,-12215,-8251,-19842,-16694
원가,413746,3480,30933,26335,51555,35711,64065,71469
매출원가율(%),47.95,47.24,46.76,32.19,46.76,43.96,63.65,47.31
직접제조원가율(%),27.33,27.32,27.36,27.36,27.36,27.11,27.43,27.33
매출총이익,275354,2619,15703,55483,84809,64289,67753,114895
매출총이익율(%),37.86,28.81,19.19,67.81,62.19,64.29,51.4,61.65
지급수수료_중간관리수수료,2273,2273,,,,,,
지급수수료_중간관리수수료(직영),51859,,,,,,25308,26552
지급수수료_판매사원도급비(직영),19682,,,19682,,,,
지급수수료_판매사원도급비(면세),15682,,15682,,,,,
지급수수료_물류용역비,21895,274,2463,2463,4105,3011,3968,5611
지급수수료_물류운송비,24108,301,2712,2712,4520,3315,4370,6178
지급수수료_이천보관료,37935,474,4268,4268,7113,5216,6876,9721
지급수수료_카드수수료,6384,,,,4227,,,2157
지급수수료_온라인위탁판매수수료,31779,,,,,31779,,
지급수수료_로열티,26182,327,2945,2945,4909,3600,4745,6709
지급임차료_매장(변동),75450,,,2864,,,15869,56717
지급임차료_매장(고정),3635,,,,,,,3635
지급임차료_관리비,9674,,,,,,1612,8062
감가상각비_임차시설물,27098,8628,2948,,,,2198,13324
직접비,353635,12277,31018,34934,24875,46921,64946,138664
직접이익,-78281,-9658,-15315,20549,59934,17368,2807,-23769
직접이익율(%),-10.76,-106.24,-18.72,25.12,43.95,17.37,2.13,-12.75
일반 관리비,631593,7518,67661,73247,119748,87570,109009,166840
영업이익,-709874,-17176,-82976,-52698,-59813,-70202,-106202,-190609
영업이익율(%),-97.61,-188.93,-101.41,-64.41,-43.86,-70.2,-80.57,-102.28
