브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
I,1.0,백화점,Acc_etc,기타,ET,4803900,4595070,4177339,2661664,1376742,1284922
I,1.0,백화점,Acc_etc,머플러(스카프),MF,6155000,5797800,5270754,3355986,1203061,2152925
I,1.0,백화점,Acc_etc,양말,SO,5284200,4989170,4535564,2891722,1299824,1591898
I,1.0,백화점,Acc_etc,장갑,GL,11176000,10652640,9684206,6138710,2734330,3404380
I,1.0,백화점,Bag,가방,BG,561000,531850,483500,307091,141254,165837
I,1.0,백화점,Bag,백팩,BK,138511000,120307310,109370538,69724979,31183827,38541152
I,1.0,백화점,Bag,보조가방,UB,3136000,2961040,2691860,1713864,778187,935677
I,1.0,백화점,Bag,슬링백,SG,3397000,3199670,2908791,1907904,745161,1162743
I,1.0,백화점,Bag,크로스백,CR,316184000,307395350,279450275,176739845,80015091,96724754
I,1.0,백화점,Bag,힙색,HS,177000,166730,151572,95491,34776,60715
I,1.0,백화점,Headwear,방한모,WM,46810000,44228330,40207447,25615123,9270911,16344212
I,1.0,백화점,Headwear,비니,BN,49235000,46948880,42680888,27105452,10997031,16108421
I,1.0,백화점,Headwear,와이어캡,WR,294000,284850,258956,164346,57985,106361
I,1.0,백화점,Headwear,운동모,CP,35106000,33192210,30174700,19236550,7662654,11573896
I,1.0,백화점,Headwear,햇,HT,826000,747330,679390,428017,182800,245217
I,1.0,백화점,Shoes,런닝화,RN,22665000,21622380,19656738,12565977,5494743,7071234
I,1.0,백화점,Shoes,방한화,WB,319935000,302904840,275367699,175732343,79298102,96434241
I,1.0,백화점,Shoes,스니커즈,SX,6494000,6191060,5628244,3586072,1570820,2015252
I,1.0,백화점,Shoes,신발,SH,33356000,31383740,28530628,18122511,7850400,10272111
I,1.0,백화점,과시즌의류,다운점퍼,DJ,15248000,7662220,6965666,4387829,2544475,1843354
I,1.0,백화점,과시즌의류,맨투맨,MT,531000,265500,241362,152055,89370,62685
I,1.0,백화점,과시즌의류,반팔카라티셔츠,TS,330000,318800,289818,184038,77630,106408
I,1.0,백화점,과시즌의류,반팔티 & 스웨트팬츠,S1,100000,-49020,-44546,-28064,-5010,-23054
I,1.0,백화점,과시즌의류,베이비,BV,826000,807360,733961,466102,249004,217098
I,1.0,백화점,과시즌의류,스윔웨어,SW,-169000,-169000,-153636,-96791,-49222,-47569
I,1.0,백화점,과시즌의류,우븐반바지,SM,147000,117600,106908,67353,31863,35490
I,1.0,백화점,당시즌의류,다운베스트,DV,16609000,14965500,13604999,8621829,4598539,4023290
I,1.0,백화점,당시즌의류,다운점퍼,DJ,504132000,477169140,433790026,275970745,128909621,147061124
I,1.0,백화점,당시즌의류,레깅스,LG,1106000,1059620,963289,612593,314942,297651
I,1.0,백화점,당시즌의류,맨투맨,MT,84066000,79046270,71860139,45764352,23390345,22374007
I,1.0,백화점,당시즌의류,맨투맨셋트,S2,120478000,113851290,103501124,65867666,33292447,32575219
I,1.0,백화점,당시즌의류,반팔카라티셔츠,TS,2095000,1938690,1762429,1112956,596795,516161
I,1.0,백화점,당시즌의류,반팔티 & 스웨트팬츠,S1,2385000,2194930,1995390,1269492,669900,599592
I,1.0,백화점,당시즌의류,방풍자켓,WJ,139000,72170,65611,41335,35811,5524
I,1.0,백화점,당시즌의류,스커트,SK,89000,89000,80909,50973,25049,25924
I,1.0,백화점,당시즌의류,우븐팬츠,WP,60378000,56551500,51410467,32695844,15714717,16981127
I,1.0,백화점,당시즌의류,점퍼,JP,7006000,6630520,6027744,3823772,1785881,2037891
I,1.0,백화점,당시즌의류,진바지,DP,17675000,16549420,15044906,9559718,4327779,5231939
I,1.0,백화점,당시즌의류,패딩,PD,5406000,5183530,4712299,2980897,1542280,1438617
I,1.0,백화점,당시즌의류,팬츠,PT,43886000,41424030,37658202,24024505,12039461,11985044
I,1.0,백화점,당시즌의류,폴라폴리스점퍼,FD,4031000,3767410,3424913,2191007,1124591,1066416
I,1.0,백화점,당시즌의류,후드티,HD,19032000,17858650,16235116,10323909,5415151,4908758
I,2.0,면세점,Acc_etc,기타,ET,445000,445000,404545,242725,129965,112760
I,2.0,면세점,Acc_etc,머플러(스카프),MF,4315000,4315020,3922740,2353634,947643,1405991
I,2.0,면세점,Acc_etc,양말,SO,983300,983300,893911,536341,234855,301486
I,2.0,면세점,Acc_etc,장갑,GL,98000,98000,89090,53454,17928,35526
I,2.0,면세점,Bag,백팩,BK,114081000,113774400,103431278,62058757,26893434,35165323
I,2.0,면세점,Bag,크로스백,CR,206453000,206452890,187684426,112610150,45957783,66652367
I,2.0,면세점,Headwear,방한모,WM,13615000,13490800,12264367,7358598,2706494,4652104
I,2.0,면세점,Headwear,비니,BN,39425000,39425010,35840741,21504406,8840218,12664188
I,2.0,면세점,Headwear,와이어캡,WR,1078000,1078000,979990,587994,212613,375381
I,2.0,면세점,Headwear,운동모,CP,29127000,29117090,26469947,15881937,6170453,9711484
I,2.0,면세점,Headwear,햇,HT,472000,472000,429096,257456,104457,152999
I,2.0,면세점,Shoes,런닝화,RN,6268000,6268000,5698166,3418898,1505838,1913060
I,2.0,면세점,Shoes,방한화,WB,6573000,6573000,5975430,3585239,1585703,1999536
I,2.0,면세점,Shoes,스니커즈,SX,2611000,2611000,2373629,1424175,561208,862967
I,2.0,면세점,Shoes,신발,SH,7643000,7643000,6948174,4168901,1800728,2368173
I,2.0,면세점,과시즌의류,베이비,BV,118000,118000,107274,64364,35572,28792
I,2.0,면세점,당시즌의류,다운베스트,DV,1946000,1946000,1769082,1061452,538292,523160
