브랜드,유통채널,채널명,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익,지급수수료_중간관리수수료,지급수수료_중간관리수수료(직영),지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_물류운송비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(변동),지급임차료_매장(고정),지급임차료_관리비,감가상각비_임차시설물,직접비 합계,직접이익
I,1.0,백화점,4321065336.0,4062596115.0,3693268010.0,2349070848.0,1083006763.0,1266064085,435845655.0,0.0,0.0,0.0,74248813.0,14691901.0,82820927.0,0.0,0.0,140944251.0,0.0,0.0,0.0,37042000.0,785593547,480470538
I,2.0,면세점,1278302650.0,1277305242.0,1161185602.0,696709772.0,299205289.0,397504483,0.0,0.0,0.0,151523531.0,23344201.0,4618870.0,26039099.0,0.0,0.0,41802586.0,0.0,1275000.0,0.0,2153000.0,250756287,146748196
I,3.0,직영점(가두),174492438.0,174010399.0,158191237.0,158191237.0,43852487.0,114338750,0.0,0.0,12090278.0,0.0,3179946.0,629507.0,3547585.0,0.0,0.0,6169458.0,13631631.0,0.0,0.0,1048000.0,40296405,74042345
I,4.0,자사몰,415382803.0,362360917.0,329450733.0,329450733.0,103316965.0,226133768,0.0,0.0,0.0,0.0,6622901.0,1310273.0,7388168.0,0.0,0.0,12848579.0,0.0,0.0,0.0,0.0,28169921,197963847
I,5.0,제휴몰,1212359314.0,1202741507.0,1093400640.0,1093400640.0,298551397.0,794849243,0.0,0.0,0.0,0.0,21981762.0,4349482.0,24519390.0,0.0,321254595.0,42642625.0,0.0,0.0,0.0,0.0,414747854,380101389
I,6.0,대리점,1170103825.0,1109171831.0,1008338199.0,653556122.0,294859905.0,358696217,0.0,0.0,0.0,0.0,20272017.0,4011269.0,22611232.0,0.0,0.0,39213367.0,0.0,0.0,0.0,0.0,86107885,272588332
I,8.0,사입,816064818.0,219096234.0,199178306.0,199178306.0,137538539.0,61639767,0.0,0.0,0.0,0.0,4005081.0,793129.0,4467375.0,0.0,0.0,11950698.0,0.0,0.0,0.0,0.0,21216283,40423484
I,11.0,직영몰,419328854.0,395242827.0,359311356.0,359311356.0,103825182.0,255486174,0.0,42337000.0,0.0,0.0,7223221.0,1428952.0,8057839.0,4263319.0,0.0,14013143.0,85680249.0,0.0,13223447.0,5853000.0,182080170,73406004
I,99.0,기타,54784693.0,17030631.0,15482339.0,15482339.0,13554899.0,1927440,0.0,0.0,0.0,0.0,311319.0,61651.0,0.0,0.0,0.0,928940.0,0.0,0.0,0.0,0.0,1301910,625530
M,1.0,RF,1133952070.0,1030617552.0,936924557.0,595889107.0,189347737.0,406541370,91525951.0,0.0,0.0,0.0,17564676.0,6230234.0,19678861.0,0.0,0.0,41712237.0,0.0,303953.0,0.0,10104356.0,187120268,219421102
M,1.0,백화점,8382441087.0,7700460938.0,7000412717.0,4561916168.0,1424436684.0,3137479484,683853811.0,0.0,0.0,0.0,131237871.0,46550398.0,147034407.0,0.0,0.0,319334132.0,0.0,2271047.0,0.0,75496644.0,1405778310,1731701174
M,2.0,면세점,12343113038.0,11790699178.0,10718816067.0,6645672996.0,2046181522.0,4599491474,0.0,0.0,0.0,577704120.0,200947963.0,71275877.0,225134465.0,0.0,0.0,465197110.0,0.0,6525000.0,0.0,11758000.0,1558542535,3040948939
M,3.0,RF,464728779.0,422456782.0,384051429.0,384051429.0,75312056.0,308739373,0.0,0.0,26316773.0,0.0,7199879.0,2553741.0,8066445.0,8825924.0,0.0,17666366.0,2729912.0,78814100.0,7780683.0,8891994.0,168845817,139893556
M,3.0,직영점(가두),2711117580.0,2672239933.0,2429304211.0,2429304211.0,438698217.0,1990605994,0.0,0.0,166465851.0,0.0,45542588.0,16153601.0,51024023.0,55828082.0,0.0,111747994.0,17267963.0,498535900.0,49216445.0,56246006.0,1068028453,922577541
M,4.0,RF,457391958.0,288156888.0,261960807.0,261960807.0,78611857.0,183348950,0.0,0.0,0.0,0.0,4910975.0,1741849.0,5502297.0,9064638.0,0.0,12050197.0,0.0,0.0,0.0,0.0,33269956,150078994
