월,일,요일,계수구분,계수,월말계수,진척계수,진척율
2,1,Sun,명절,0.971966,26.735336,0.971966,0.036355
2,2,Mon,명절,1.025756,26.735336,1.997722,0.074722
2,3,Tue,명절,1.046140,26.735336,3.043862,0.113852
2,4,Wed,명절,0.987976,26.735336,4.031838,0.150806
2,5,Thu,명절,0.910764,26.735336,4.942602,0.184872
2,6,Fri,명절,0.922776,26.735336,5.865378,0.219387
2,7,Sat,명절,0.790924,26.735336,6.656302,0.248970
2,8,Sun,명절,1.211775,26.735336,7.868077,0.294295
2,9,Mon,명절,0.897045,26.735336,8.765122,0.327848
2,10,Tue,명절,0.969999,26.735336,9.735121,0.364129
2,11,Wed,명절,0.894703,26.735336,10.629824,0.397595
2,12,Thu,명절,0.764589,26.735336,11.394413,0.426193
2,13,Fri,명절,0.965252,26.735336,12.359665,0.462297
2,14,Sat,명절,0.868356,26.735336,13.228021,0.494777
2,15,Sun,명절,0.817813,26.735336,14.045834,0.525366
2,16,Mon,명절,0.568215,26.735336,14.614049,0.546619
2,17,Tue,명절,0.271789,26.735336,14.885838,0.556785
2,18,Wed,명절,1.047989,26.735336,15.933827,0.595984
2,19,Thu,명절,1.192769,26.735336,17.126596,0.640598
2,20,Fri,명절,0.859418,26.735336,17.986014,0.672743
2,21,Sat,명절,0.999422,26.735336,18.985436,0.710125
2,22,Sun,명절,0.963237,26.735336,19.948673,0.746154
2,23,Mon,명절,1.096737,26.735336,21.045410,0.787176
2,24,Tue,명절,1.034629,26.735336,22.080039,0.825875
2,25,Wed,명절,1.001639,26.735336,23.081678,0.863340
2,26,Thu,명절,1.021980,26.735336,24.103658,0.901566
2,27,Fri,명절,1.332027,26.735336,25.435685,0.951388
2,28,Sat,명절,1.299651,26.735336,26.735336,1.000000
