브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
I,1.0,백화점,Acc_etc,기타,ET,3714257,3471997,3156357,1996484,1059579,936905
I,1.0,백화점,Acc_etc,머플러(스카프),MF,2781867,2479741,2254316,1431909,569343,862566
I,1.0,백화점,Acc_etc,양말,SO,8405480,7859721,7145187,4559526,1997754,2561772
I,1.0,백화점,Acc_etc,장갑,GL,5249284,4992735,4538858,2886561,1276877,1609684
I,1.0,백화점,Bag,가방,BG,2305974,2203796,2003434,1270591,580631,689960
I,1.0,백화점,Bag,백팩,BK,783484214,650570445,591428458,376945417,177689855,199255562
I,1.0,백화점,Bag,보조가방,UB,15053890,14005660,12732431,8125208,3735608,4389600
I,1.0,백화점,Bag,슬링백,SG,666251,635167,577424,384456,146145,238311
I,1.0,백화점,Bag,크로스백,CR,1241291153,1201483679,1092258040,690410165,337606472,352803693
I,1.0,백화점,Bag,힙색,HS,852994,784935,713575,450136,167595,282541
I,1.0,백화점,Headwear,방한모,WM,38381095,36489968,33172655,21129920,7440098,13689822
I,1.0,백화점,Headwear,비니,BN,55228923,51845972,47132634,29966073,12086117,17879956
I,1.0,백화점,Headwear,와이어캡,WR,1003593,968774,880712,557693,193307,364386
I,1.0,백화점,Headwear,운동모,CP,87380033,82886889,75351406,48023063,18677155,29345908
I,1.0,백화점,Headwear,햇,HT,915643,875162,795596,501225,173741,327484
I,1.0,백화점,Shoes,런닝화,RN,88694462,84028876,76389761,48747933,21579156,27168777
I,1.0,백화점,Shoes,방한화,WB,69981615,64645285,58768307,37439784,16641439,20798345
I,1.0,백화점,Shoes,스니커즈,SX,27996983,25818717,23471581,14919201,6251328,8667873
I,1.0,백화점,Shoes,신발,SH,68823809,64719488,58835924,37508099,15954383,21553716
I,1.0,백화점,과시즌의류,다운점퍼,DJ,3361373,1680686,1527895,962577,518967,443610
I,1.0,백화점,과시즌의류,맨투맨,MT,1137325,568662,516962,325680,176942,148738
I,1.0,백화점,과시즌의류,맨투맨셋트,S2,0,0,0,0,0,0
I,1.0,백화점,과시즌의류,반바지,SP,71083,35541,32310,20355,16703,3652
I,1.0,백화점,과시즌의류,반팔카라티셔츠,TS,1948151,1809069,1644611,1040374,458298,582076
I,1.0,백화점,과시즌의류,반팔티 & 스웨트팬츠,S1,718057,359004,326388,205624,110634,94990
I,1.0,백화점,과시즌의류,베이비,BV,2630063,2537608,2306910,1510532,792853,717679
I,1.0,백화점,당시즌의류,다운베스트,DV,12856348,11930356,10845770,6867872,3520772,3347100
I,1.0,백화점,당시즌의류,다운점퍼,DJ,397138375,363363927,330330771,210192358,101886435,108305923
I,1.0,백화점,당시즌의류,레깅스,LG,1427680,1235756,1123412,713557,406543,307014
I,1.0,백화점,당시즌의류,맨투맨,MT,59481843,54908050,49916297,31689683,16596533,15093150
I,1.0,백화점,당시즌의류,맨투맨셋트,S2,96658145,90304090,82094576,52273101,26662329,25610772
I,1.0,백화점,당시즌의류,반팔카라티셔츠,TS,1621652,1487221,1352016,855613,437907,417706
I,1.0,백화점,당시즌의류,우븐팬츠,WP,40120817,36898140,33543728,21377423,10495525,10881898
I,1.0,백화점,당시즌의류,점퍼,JP,4895075,4445831,4041668,2580354,1305958,1274396
I,1.0,백화점,당시즌의류,진바지,DP,14570768,13373373,12157569,7712739,3562841,4149898
I,1.0,백화점,당시즌의류,패딩,PD,5938425,5795935,5269042,3376916,1694178,1682738
I,1.0,백화점,당시즌의류,팬츠,PT,27666870,25301090,23000933,14612687,7393076,7219611
I,1.0,백화점,당시즌의류,폴라폴리스점퍼,FD,5023987,4603731,4185222,2652389,1401620,1250769
I,1.0,백화점,당시즌의류,후드티,HD,15699660,14642972,13311799,8468172,4455429,4012743
I,1.0,백화점,차시즌의류,맨투맨,MT,46158035,43571031,39610029,25197855,11731409,13466446
I,1.0,백화점,차시즌의류,맨투맨셋트,S2,156819491,148217954,134743431,86004914,39480137,46524777
I,1.0,백화점,차시즌의류,반팔카라티셔츠,TS,3378240,3257002,2960913,1877397,841558,1035839
I,1.0,백화점,차시즌의류,방풍자켓,WJ,3433660,3282941,2984489,1900419,773394,1127025
I,1.0,백화점,차시즌의류,스커트,SK,380715,361679,328798,209873,92188,117685
I,1.0,백화점,차시즌의류,우븐셔츠,WS,1149373,1111060,1010055,647828,240662,407166
I,1.0,백화점,차시즌의류,우븐팬츠,WP,7273336,6849442,6226754,3955689,1817935,2137754
I,1.0,백화점,차시즌의류,점퍼,JP,126093651,115105962,104641798,67028405,29854345,37174060
I,1.0,백화점,차시즌의류,진바지,DP,16535786,15743984,14312700,9087694,4389239,4698455
I,1.0,백화점,차시즌의류,팬츠,PT,16782769,15798874,14362621,9131945,4027873,5104072
I,1.0,백화점,차시즌의류,폴로 티셔츠,PQ,1179492,1136602,1033274,661297,268609,392688
I,1.0,백화점,차시즌의류,후드티,HD,23801893,22250758,20227941,12860333,5811379,7048954
I,2.0,면세점,Acc_etc,기타,ET,214453,214453,194957,116973,62632,54341
I,2.0,면세점,Acc_etc,머플러(스카프),MF,3734859,3734859,3395318,2037185,778007,1259178
I,2.0,면세점,Acc_etc,양말,SO,2997646,2997670,2725145,1635067,695921,939146
I,2.0,면세점,Acc_etc,장갑,GL,118070,118070,107335,64401,21600,42801
I,2.0,면세점,Bag,백팩,BK,35704045,33804327,30731207,18438733,8325128,10113605
I,2.0,면세점,Bag,보조가방,UB,354209,354209,322005,193203,87896,105307
I,2.0,면세점,Bag,슬링백,SG,380715,380715,346103,207663,83513,124150
I,2.0,면세점,Bag,크로스백,CR,437392924,437392442,397629454,238576115,109785873,128790242
I,2.0,면세점,Headwear,방한모,WM,8484153,8409336,7644843,4586893,1622991,2963902
I,2.0,면세점,Headwear,비니,BN,42540041,42540029,38672648,23203557,9151332,14052225
I,2.0,면세점,Headwear,와이어캡,WR,2302360,2302360,2093033,1255820,435589,820231
I,2.0,면세점,Headwear,운동모,CP,136058495,136058579,123689119,74213341,28806931,45406410
I,2.0,면세점,Headwear,햇,HT,191562,191562,174148,104488,33570,70918
I,2.0,면세점,Shoes,런닝화,RN,23869362,23869362,21699344,13019578,5807649,7211929
I,2.0,면세점,Shoes,방한화,WB,4240872,4240872,3855320,2313181,980664,1332517
I,2.0,면세점,Shoes,스니커즈,SX,24758499,24758487,22507629,13504559,5263762,8240797
I,2.0,면세점,Shoes,신발,SH,18341771,18341771,16674306,10004571,4125625,5878946
I,2.0,면세점,과시즌의류,반팔카라티셔츠,TS,39758,27831,25301,15180,8861,6319
I,2.0,면세점,과시즌의류,베이비,BV,639745,639745,581593,348954,192856,156098
I,2.0,면세점,당시즌의류,다운베스트,DV,669865,669865,608965,365380,185295,180085
I,2.0,면세점,당시즌의류,다운점퍼,DJ,165710864,165710852,150646244,90387743,42842079,47545664
I,2.0,면세점,당시즌의류,맨투맨,MT,16943006,16943006,15402736,9241590,4769769,4471821
I,2.0,면세점,당시즌의류,맨투맨셋트,S2,12427441,12427441,11297691,6778626,3388588,3390038
I,2.0,면세점,당시즌의류,반팔카라티셔츠,TS,213248,213248,193864,116318,64537,51781
I,2.0,면세점,당시즌의류,우븐팬츠,WP,7578149,7578149,6889171,4133504,1952073,2181431
I,2.0,면세점,당시즌의류,진바지,DP,919257,919257,835681,501408,212660,288748
I,2.0,면세점,당시즌의류,패딩,PD,1340935,1340935,1219028,731417,382554,348863
I,2.0,면세점,당시즌의류,팬츠,PT,3114390,3114390,2831263,1698755,856760,841995
I,2.0,면세점,당시즌의류,폴라폴리스점퍼,FD,3851724,3851724,3501549,2100935,1074578,1026357
I,2.0,면세점,당시즌의류,후드티,HD,4115573,4115573,3741420,2244851,1167483,1077368
I,2.0,면세점,차시즌의류,맨투맨,MT,24895846,24895822,22632490,13579457,6026907,7552550
I,2.0,면세점,차시즌의류,맨투맨셋트,S2,26901826,26901826,24456265,14673734,6633775,8039959
I,2.0,면세점,차시즌의류,방풍자켓,WJ,2201157,2201157,2001057,1200635,489339,711296
I,2.0,면세점,차시즌의류,우븐셔츠,WS,191562,191562,174147,104488,40110,64378
I,2.0,면세점,차시즌의류,우븐팬츠,WP,309632,309632,281483,168890,73138,95752
I,2.0,면세점,차시즌의류,점퍼,JP,24211523,24211523,22010420,13206232,5832494,7373738
I,2.0,면세점,차시즌의류,진바지,DP,1754179,1754179,1594700,956820,496145,460675
I,2.0,면세점,차시즌의류,팬츠,PT,6238419,6238431,5671330,3402777,1384606,2018171
I,2.0,면세점,차시즌의류,후드티,HD,5885415,5885415,5350365,3210199,1426931,1783268
I,3.0,직영점(가두),Acc_etc,기타,ET,643360,643360,584872,584872,187897,396975
I,3.0,직영점(가두),Acc_etc,머플러(스카프),MF,78312,78312,71192,71192,14285,56907
I,3.0,직영점(가두),Acc_etc,양말,SO,228429,228429,207664,207664,60124,147540
I,3.0,직영점(가두),Acc_etc,장갑,GL,437340,437340,397578,397578,118642,278936
I,3.0,직영점(가두),Bag,가방,BG,556614,556614,506013,506013,140155,365858
I,3.0,직영점(가두),Bag,백팩,BK,12006969,11835647,10759678,10759678,2651589,8108089
I,3.0,직영점(가두),Bag,보조가방,UB,531314,531314,483008,483008,131844,351164
I,3.0,직영점(가두),Bag,슬링백,SG,190357,190357,173052,173052,41756,131296
I,3.0,직영점(가두),Bag,크로스백,CR,1152987,1152987,1048166,1048166,233670,814496
I,3.0,직영점(가두),Bag,힙색,HS,213248,213248,193861,193861,41899,151962
I,3.0,직영점(가두),Headwear,방한모,WM,3003549,2979453,2708585,2708585,614273,2094312
I,3.0,직영점(가두),Headwear,비니,BN,6003484,6003484,5457697,5457697,1291742,4165955
I,3.0,직영점(가두),Headwear,와이어캡,WR,236139,236139,214670,214670,45801,168869
I,3.0,직영점(가두),Headwear,운동모,CP,7976935,7976935,7251760,7251760,1707787,5543973
I,3.0,직영점(가두),Headwear,햇,HT,142166,142166,129241,129241,33190,96051
I,3.0,직영점(가두),Shoes,런닝화,RN,4983024,4983024,4530023,4530023,1218782,3311241
I,3.0,직영점(가두),Shoes,방한화,WB,3658957,3647873,3316246,3316246,867511,2448735
I,3.0,직영점(가두),Shoes,스니커즈,SX,1227684,1227684,1116076,1116076,286801,829275
I,3.0,직영점(가두),Shoes,신발,SH,4427615,4427615,4025104,4025104,1032950,2992154
I,3.0,직영점(가두),과시즌의류,베이비,BV,1492739,1492739,1357026,1357026,450000,907026
I,3.0,직영점(가두),당시즌의류,다운베스트,DV,310837,310837,282579,282579,83113,199466
I,3.0,직영점(가두),당시즌의류,다운점퍼,DJ,26298225,26274129,23885566,23885566,6765486,17120080
I,3.0,직영점(가두),당시즌의류,레깅스,LG,285536,285536,259578,259578,81308,178270
