브랜드,구분,종료일,유통채널,채널명,실판매출
I,당년,2026-03-01,01,백화점,1074291070
I,전년,2026-03-01,01,백화점,1043155620
I,당년,2026-03-01,02,면세점,230934200
I,전년,2026-03-01,02,면세점,182340600
I,당년,2026-03-01,03,직영점(가두),25715017
I,전년,2026-03-01,03,직영점(가두),22395880
I,당년,2026-03-01,04,자사몰,85618230
I,전년,2026-03-01,04,자사몰,96319434
I,당년,2026-03-01,05,제휴몰,233197800
I,전년,2026-03-01,05,제휴몰,331428370
I,당년,2026-03-01,06,대리점,186628383
I,전년,2026-03-01,06,대리점,197448659
I,당년,2026-03-01,08,사입,136850461
I,전년,2026-03-01,08,사입,603708026
I,당년,2026-03-01,11,직영몰,142400100
I,전년,2026-03-01,11,직영몰,107187300
I,당년,2026-03-01,99,기타,25245434
I,전년,2026-03-01,99,기타,24766496
M,당년,2026-03-01,01,백화점,1494685130
M,전년,2026-03-01,01,백화점,1945500410
M,당년,2026-03-01,02,면세점,2070200400
M,전년,2026-03-01,02,면세점,1924057200
M,당년,2026-03-01,03,직영점(가두),597901383
M,전년,2026-03-01,03,직영점(가두),344270420
M,당년,2026-03-01,04,자사몰,146787261
M,전년,2026-03-01,04,자사몰,164731943
M,당년,2026-03-01,05,제휴몰,310088900
M,전년,2026-03-01,05,제휴몰,340332000
M,당년,2026-03-01,06,대리점,1668600267
M,전년,2026-03-01,06,대리점,1130614461
M,당년,2026-03-01,08,사입,443706180
M,전년,2026-03-01,08,사입,1492444907
M,당년,2026-03-01,11,직영몰,128499000
M,전년,2026-03-01,11,직영몰,192725600
M,당년,2026-03-01,99,기타,79458174
M,전년,2026-03-01,99,기타,2553363
M,당년,2026-03-01,RF,RF,396924740
M,전년,2026-03-01,RF,RF,595082400
ST,당년,2026-03-01,01,백화점,396100
ST,전년,2026-03-01,01,백화점,11419690
ST,당년,2026-03-01,02,면세점,8452200
ST,전년,2026-03-01,02,면세점,11579500
ST,당년,2026-03-01,03,직영점(가두),13749000
ST,당년,2026-03-01,04,자사몰,13570200
ST,전년,2026-03-01,04,자사몰,24556500
ST,당년,2026-03-01,05,제휴몰,19418800
ST,전년,2026-03-01,05,제휴몰,49879200
ST,당년,2026-03-01,07,아울렛,17963460
ST,전년,2026-03-01,07,아울렛,17242320
ST,당년,2026-03-01,11,직영몰,13351510
ST,전년,2026-03-01,11,직영몰,41059010
ST,당년,2026-03-01,99,기타,31397378
ST,전년,2026-03-01,99,기타,345908
V,당년,2026-03-01,01,백화점,189306300
V,전년,2026-03-01,01,백화점,123185790
V,당년,2026-03-01,03,직영점(가두),22440000
V,당년,2026-03-01,04,자사몰,13991450
V,전년,2026-03-01,04,자사몰,22642000
V,당년,2026-03-01,05,제휴몰,33111576
V,전년,2026-03-01,05,제휴몰,49729900
V,당년,2026-03-01,07,아울렛,109069800
V,전년,2026-03-01,07,아울렛,139549370
V,당년,2026-03-01,11,직영몰,21895100
V,전년,2026-03-01,11,직영몰,22137700
V,당년,2026-03-01,99,기타,4788114
V,전년,2026-03-01,99,기타,72587280
W,전년,2026-03-01,01,백화점,5540740
W,전년,2026-03-01,02,면세점,52009880
W,전년,2026-03-01,03,직영점(가두),9659420
W,당년,2026-03-01,04,자사몰,7279000
W,전년,2026-03-01,04,자사몰,8630923
W,당년,2026-03-01,05,제휴몰,6203000
W,전년,2026-03-01,05,제휴몰,11742680
W,전년,2026-03-01,11,직영몰,6750234
W,전년,2026-03-01,99,기타,4156778
X,당년,2026-03-01,01,백화점,2223280400
X,전년,2026-03-01,01,백화점,2254215350
X,당년,2026-03-01,02,면세점,350201600
X,전년,2026-03-01,02,면세점,335417000
X,당년,2026-03-01,03,직영점(가두),68111600
X,전년,2026-03-01,03,직영점(가두),13326200
X,당년,2026-03-01,04,자사몰,321762647
X,전년,2026-03-01,04,자사몰,332765190
X,당년,2026-03-01,05,제휴몰,591796350
X,전년,2026-03-01,05,제휴몰,709286051
X,당년,2026-03-01,06,대리점,2077804140
X,전년,2026-03-01,06,대리점,2249276600
X,당년,2026-03-01,07,아울렛,1524157700
X,전년,2026-03-01,07,아울렛,1590749500
X,전년,2026-03-01,08,사입,-139719
X,당년,2026-03-01,11,직영몰,168913000
X,전년,2026-03-01,11,직영몰,174541100
X,당년,2026-03-01,12,아울렛,57477600
X,전년,2026-03-01,12,아울렛,70521900
X,당년,2026-03-01,99,기타,23236619
X,전년,2026-03-01,99,기타,1673638
I,당년,2026-03-08,01,백화점,852020440
I,전년,2026-03-08,01,백화점,962390080
I,당년,2026-03-08,02,면세점,391819300
I,전년,2026-03-08,02,면세점,173210900
I,당년,2026-03-08,03,직영점(가두),16946600
I,전년,2026-03-08,03,직영점(가두),31403999
I,당년,2026-03-08,04,자사몰,79753490
I,전년,2026-03-08,04,자사몰,85310570
