브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율,누적판매TAG가,누적입고TAG가,전년누적판매TAG가,전년누적입고TAG가,전년마감누적판매TAG가,전년마감누적입고TAG가
I,의류,Bottom,DP,진바지,1532405000,1.0958,1982000,0.6537,345722000,1.3972,0.5285,-0.0458,0.5954,345722000,654217000,247436000,430920000,256551000,430920000
I,의류,Bottom,LG,레깅스,69125000,0.2227,237000,0.1259,25043000,0.3761,0.3963,0.1381,0.2714,25043000,63200000,66586000,257969000,70017041,257969000
I,의류,Bottom,PT,팬츠,2740879000,0.5953,8282000,0.7744,703576000,0.8853,0.4553,0.0863,0.3812,703576000,1545156000,794760352,2153281000,820841352,2153281000
I,의류,Bottom,SK,스커트,573392000,0.4350,-89000,-0.4083,47882000,0.3841,0.1930,0.0321,0.1619,47882000,248043000,124660424,774354000,125332424,774354000
I,의류,Bottom,SM,우븐반바지,109710000,,0,,12144000,,0.1107,,,12144000,109710000,0,0,0,0
I,의류,Bottom,TP,트레이닝(하의),0,0.0000,0,,0,,,,,0,0,0,0,0,0
I,의류,Bottom,WP,우븐팬츠,3695398000,1.4957,11806000,1.3547,856805000,1.4197,0.4177,0.0761,0.3512,856805000,2051057000,603524000,1766745000,620426000,1766745000
I,의류,Inner,HD,후드티,2446992000,0.8543,7590000,1.1261,575681000,1.1296,0.4295,0.0108,0.4337,575681000,1340379000,509639089,1217259000,527973089,1217259000
I,의류,Inner,KP,니트풀오버,195391000,1.1336,0,0.0000,0,0.0000,,,0.3716,0,0,56156000,165688000,61577000,165688000
I,의류,Inner,MT,맨투맨,6266412000,0.7833,26479000,1.1807,1616709000,0.9571,0.3797,-0.0133,0.4078,1616709000,4257656000,1689217878,4297886000,1752870878,4297886000
I,의류,Inner,OP,원피스,115622000,0.2517,0,,0,0.0000,,,0.2226,0,0,24936000,120989000,26927000,120989000
I,의류,Inner,PQ,폴로 티셔츠,204700000,1.0122,89000,1.1266,103952000,1.7592,0.5078,-0.1104,0.6215,103952000,204700000,59092000,95590000,59408000,95590000
I,의류,Inner,TR,트레이닝(상의),212007000,1.2920,0,,0,,,,,0,0,0,0,0,0
I,의류,Inner,TS,반팔카라티셔츠,1328679000,1.5702,1403000,1.4910,365848000,2.3858,0.5682,0.2413,0.3335,365848000,643847000,153344000,469079000,156443000,469079000
I,의류,Inner,WS,우븐셔츠,335546000,0.5082,0,,68527000,0.8787,0.3630,-0.0487,0.4157,68527000,188762000,77985843,189401000,78740843,189401000
I,의류,Outer,DJ,다운점퍼,31519737000,1.1826,180009000,0.7889,6535767000,0.9074,0.3627,-0.1227,0.5247,6535767000,18021919000,7203121261,14839680000,7786664261,14839680000
I,의류,Outer,DK,진자켓,765808000,0.7216,308000,,156675000,,0.3833,,,156675000,408776000,0,0,0,0
