브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율,누적판매TAG가,누적입고TAG가,전년누적판매TAG가,전년누적입고TAG가,전년마감누적판매TAG가,전년마감누적입고TAG가
I,의류,Bottom,DP,진바지,1532405000,1.0958,6820000,2.1651,343740000,1.4064,0.5254,-0.0417,0.5954,343740000,654217000,244404000,430920000,256551000,430920000
I,의류,Bottom,LG,레깅스,69125000,0.2227,869000,0.3149,24806000,0.3834,0.3925,0.1417,0.2714,24806000,63200000,64703000,257969000,70017041,257969000
I,의류,Bottom,PT,팬츠,2740879000,0.5953,13521000,0.9890,695294000,0.8868,0.4500,0.0859,0.3812,695294000,1545156000,784065352,2153281000,820841352,2153281000
I,의류,Bottom,SK,스커트,573392000,0.4350,89000,0.2000,47971000,0.3855,0.1934,0.0327,0.1619,47971000,248043000,124442424,774354000,125332424,774354000
I,의류,Bottom,SM,우븐반바지,109710000,,0,,12144000,,0.1107,,,12144000,109710000,0,0,0,0
I,의류,Bottom,TP,트레이닝(하의),0,0.0000,0,,0,,,,,0,0,0,0,0,0
I,의류,Bottom,WP,우븐팬츠,3695398000,1.4957,17504000,1.4793,844999000,1.4206,0.4120,0.0753,0.3512,844999000,2051057000,594809000,1766745000,620426000,1766745000
I,의류,Inner,HD,후드티,2446992000,0.8543,6296000,0.7555,568091000,1.1296,0.4238,0.0107,0.4337,568091000,1340379000,502899089,1217259000,527973089,1217259000
I,의류,Inner,KP,니트풀오버,195391000,1.1336,0,0.0000,0,0.0000,,,0.3716,0,0,54488000,165688000,61577000,165688000
I,의류,Inner,MT,맨투맨,6266412000,0.7833,29100000,1.0334,1590230000,0.9541,0.3735,-0.0143,0.4078,1590230000,4257656000,1666790878,4297886000,1752870878,4297886000
I,의류,Inner,OP,원피스,115622000,0.2517,0,0.0000,0,0.0000,,,0.2226,0,0,24936000,120989000,26927000,120989000
I,의류,Inner,PQ,폴로 티셔츠,204700000,1.0122,356000,4.5063,103863000,1.7600,0.5074,-0.1100,0.6215,103863000,204700000,59013000,95590000,59408000,95590000
I,의류,Inner,TR,트레이닝(상의),212007000,1.2920,0,,0,,,,,0,0,0,0,0,0
I,의류,Inner,TS,반팔카라티셔츠,1328679000,1.5702,666000,1.0455,364445000,2.3913,0.5660,0.2411,0.3335,364445000,643847000,152403000,469079000,156443000,469079000
I,의류,Inner,WS,우븐셔츠,335546000,0.5082,0,,68527000,0.8787,0.3630,-0.0487,0.4157,68527000,188762000,77985843,189401000,78740843,189401000
I,의류,Outer,DJ,다운점퍼,31519737000,1.1826,229265000,0.7174,6355758000,0.9112,0.3527,-0.1174,0.5247,6355758000,18021919000,6974957261,14839680000,7786664261,14839680000
I,의류,Outer,DK,진자켓,765808000,0.7216,139000,,156367000,,0.3825,,,156367000,408776000,0,0,0,0
I,의류,Outer,DV,다운베스트,1922179000,0.8615,6681000,0.6854,354236000,0.9238,0.3888,-0.0390,0.4637,354236000,911095000,383452000,896402000,415677000,896402000
I,의류,Outer,FD,폴라폴리스점퍼,250339000,0.1683,2502000,0.3572,61021000,0.2431,0.2869,-0.0425,0.3528,61021000,212670000,251034075,762119000,268875075,762119000
I,의류,Outer,JP,점퍼,2067551000,0.3929,3080000,1.4590,601038000,0.6097,0.3693,0.0903,0.2833,601038000,1627662000,985828675,3534413000,1001137675,3534413000
I,의류,Outer,KC,니트가디건,719220000,0.5828,0,0.0000,51286000,0.3152,0.1399,-0.0922,0.2376,51286000,366660000,162726000,701248000,166603000,701248000
I,의류,Outer,PD,패딩,381600000,,2385000,,143100000,,0.3730,,,143100000,383667000,0,0,0,0
I,의류,Outer,WJ,방풍자켓,2672101000,2.2362,0,0.0000,129409000,0.6417,0.3335,0.0615,0.2760,129409000,388088000,201658000,741412000,204597000,741412000
I,의류,Wear_etc,S1,반팔티 & 스웨트팬츠,1249379000,0.6166,298000,0.0523,392698000,0.8688,0.3833,0.0154,0.3929,392698000,1024457000,452000000,1228643000,482730000,1228643000
I,의류,Wear_etc,S2,맨투맨셋트,7788432000,0.9688,46960000,0.7464,2968078000,1.1136,0.4494,0.0245,0.4665,2968078000,6604832000,2665395906,6273029000,2926648906,6273029000
M,의류,Bottom,DP,진바지,6927490000,1.2288,7139000,0.8488,255430000,0.7418,0.3718,0.0187,0.3929,255430000,687081000,344322000,975311000,383230000,975311000
M,의류,Bottom,DS,진스커트,1436642000,0.6021,1808000,1.2914,100593000,0.7769,0.2623,-0.2757,0.5410,100593000,383531000,129479267,240663000,130204267,240663000
M,의류,Bottom,LG,레깅스,92649000,0.0996,0,0.0000,0,0.0000,,,0.2577,0,0,28451000,121600000,31338000,121600000
M,의류,Bottom,PT,팬츠,40895898000,0.9721,104355000,1.1402,3236527000,0.9565,0.5050,-0.0588,0.5986,3236527000,6409017000,3383632030,6001489000,3592357030,6001489000
M,의류,Bottom,SK,스커트,2605312000,0.7497,933000,0.6390,165986000,0.8770,0.3925,0.0205,0.3906,165986000,422907000,189275599,508799000,198726599,508799000
M,의류,Bottom,SM,우븐반바지,1505491000,,0,,0,,,,,0,0,0,0,0,0
M,의류,Bottom,SP,반바지,1373265000,1.1542,0,,0,,,,,0,0,0,0,0,0
M,의류,Bottom,WP,우븐팬츠,37058473000,1.8295,32242000,2.3224,1802821000,1.5215,0.4689,0.0021,0.4908,1802821000,3844922000,1184908575,2538420000,1245768575,2538420000
M,의류,Inner,DD,데님원피스,0,0.0000,0,0.0000,0,0.0000,,,0.2023,0,0,18856000,104182000,21075000,104182000
M,의류,Inner,DR,데님셔츠,9840059000,0.5365,1323000,0.3913,78813000,0.3210,0.1895,-0.1927,0.4045,78813000,415800000,245540000,642445000,259862000,642445000
M,의류,Inner,HD,후드티,21826472000,0.8587,39341000,1.0001,1666610000,0.7578,0.4559,-0.0456,0.5233,1666610000,3656024000,2199222666,4385963000,2294989540,4385963000
M,의류,Inner,KP,니트풀오버,9758594000,1.1991,13111000,1.8555,643793000,0.8657,0.4750,-0.0651,0.5610,643793000,1355334000,743700000,1376937000,772482000,1376937000
M,의류,Inner,MT,맨투맨,52568038000,0.6848,50982000,0.6760,3310193000,0.7397,0.5439,0.0562,0.5140,3310193000,6086548000,4475067468,9177169000,4717176145,9177169000
M,의류,Inner,OP,원피스,270900000,0.2343,1677000,2.0352,82818000,1.0906,0.3297,0.2542,0.0812,82818000,251163000,75936000,1004723000,81594000,1004723000
M,의류,Inner,TO,TOP,183848000,,0,,0,,,,,0,0,0,0,0,0
M,의류,Inner,TR,트레이닝(상의),16175419000,0.7324,17502000,0.7359,1652133000,0.9974,0.6907,0.2725,0.4365,1652133000,2392131000,1656504797,3961775000,1729283797,3961775000
M,의류,Inner,TS,반팔카라티셔츠,44005259000,1.5526,22977000,5.0135,2002484000,2.2871,0.5784,-0.0783,0.6715,2002484000,3462190000,875561026,1333302000,895283026,1333302000
M,의류,Inner,WS,우븐셔츠,2434707000,1.2968,1183000,0.5402,128609000,1.9230,0.6918,0.3647,0.3709,128609000,185900000,66880000,204432000,75817000,204432000
M,의류,Outer,DJ,다운점퍼,328317754000,1.2526,750936000,0.7616,20140926000,0.8730,0.4300,-0.1749,0.6520,20140926000,46842438000,23070357585,38141955000,24867949585,38141955000
M,의류,Outer,DK,진자켓,2481071000,0.3505,269000,0.2410,44022000,1.0979,0.2815,0.1544,0.1564,44022000,156400000,40095000,315475000,49325470,315475000
M,의류,Outer,DV,다운베스트,21108946000,0.8827,26542000,0.8611,839100000,0.6298,0.3414,-0.1193,0.5059,839100000,2457563000,1332239000,2891583000,1462920000,2891583000
M,의류,Outer,FD,폴라폴리스점퍼,2902405000,0.5370,10055000,1.9200,281526000,1.6820,0.5563,0.3492,0.2343,281526000,506105000,167372000,808191000,189376000,808191000
M,의류,Outer,JK,방수자켓,247572000,0.8151,0,,0,,,,,0,0,0,0,0,0
M,의류,Outer,JP,점퍼,14172444000,0.8446,19491000,0.5644,1444829000,0.7265,0.4982,0.0903,0.4143,1444829000,2900135000,1988626634,4875182000,2019774634,4875182000
M,의류,Outer,KC,니트가디건,11491431000,0.6868,8064000,0.5892,848675000,0.7278,0.6615,0.1775,0.5060,848675000,1282979000,1166019725,2408962000,1219053686,2408962000
M,의류,Outer,PD,패딩,2015074000,1.9674,16915000,2.4137,883759000,3.1162,0.4414,0.0492,0.4528,883759000,2002338000,283605000,723138000,327405000,723138000
M,의류,Outer,WJ,방풍자켓,50198139000,1.1724,-20000,-0.0043,1223331000,1.0282,0.4520,-0.0043,0.4573,1223331000,2706225000,1189749763,2607315000,1192288763,2607315000
ST,의류,Bottom,LG,레깅스,6930000,0.0840,0,,495000,0.0447,0.0714,-0.0613,0.1473,495000,6930000,11080000,83474000,12296000,83474000
ST,의류,Bottom,PT,팬츠,234595000,0.1795,3743000,0.9024,74411000,0.3296,0.3197,0.1445,0.2033,74411000,232777000,225762000,1288659000,261978000,1288659000
ST,의류,Bottom,SK,스커트,640002000,0.7793,3000000,0.6384,340666000,1.0402,0.5388,0.1306,0.4458,340666000,632217000,327497000,802253000,357660000,802253000
ST,의류,Bottom,SP,반바지,138634000,8.6538,614000,6.8989,62143000,5.8675,0.4438,-0.2247,0.7247,62143000,140020000,10591000,15842000,11481000,15842000
ST,의류,Inner,HD,후드티,58855000,0.3397,149000,0.1613,7301000,0.1877,0.1237,-0.0960,0.2501,7301000,59004000,38894000,177025000,44269000,177025000
ST,의류,Inner,KP,니트풀오버,341415000,0.9833,2963000,1.4170,94660000,1.6214,0.2736,0.0996,0.2043,94660000,345949000,58380000,335387000,68535000,335387000
ST,의류,Inner,KU,니트반팔티셔츠,175695000,,0,,20352000,,0.1152,,,20352000,176649000,0,0,0,0
ST,의류,Inner,KV,니트베스트,77840000,,139000,,24047000,,0.3040,,,24047000,79091000,0,0,0,0
ST,의류,Inner,MT,맨투맨,1051135000,0.6952,7837000,1.8397,250493000,0.6484,0.2359,-0.0260,0.2866,250493000,1061692000,386324000,1474896000,422769000,1474896000
ST,의류,Inner,OP,원피스,65330000,1.2627,139000,0.6985,6394000,0.6694,0.0947,-0.0879,0.2129,6394000,67554000,9552000,52337000,11144000,52337000
ST,의류,Inner,PQ,폴로 티셔츠,1015895000,2.2372,4556000,2.7814,291933000,2.7075,0.2845,0.0477,0.2568,291933000,1026162000,107822000,455352000,116946000,455352000
ST,의류,Inner,RL,긴팔티셔츠,76230000,0.3674,693000,0.6423,14751000,0.2999,0.1910,-0.0534,0.2750,14751000,77220000,49187000,201274000,55354000,201274000
ST,의류,Inner,RS,반팔티셔츠,76240000,1.7264,226000,1.6377,55048000,3.3521,0.7293,0.3592,0.4012,55048000,75477000,16422000,44367000,17802000,44367000
ST,의류,Inner,TR,트레이닝(상의),143995000,0.1996,1929000,1.0966,40512000,0.3290,0.2947,0.1111,0.2105,40512000,137452000,123149000,670647000,141179000,670647000
ST,의류,Inner,WT,윈드티셔츠,44520000,,159000,,9063000,,0.2000,,,9063000,45315000,0,0,0,0
ST,의류,Outer,DJ,다운점퍼,274590000,0.1462,2512000,0.3164,98176000,0.3939,0.3467,0.2135,0.1536,98176000,283144000,249231000,1870272000,287271000,1870272000
ST,의류,Outer,DV,다운베스트,0,0.0000,0,,0,0.0000,,,0.1538,0,0,10619000,77441000,11914000,77441000
ST,의류,Outer,KC,니트가디건,321760000,0.6495,1871000,0.6216,77055000,0.6379,0.2400,-0.0092,0.2803,77055000,321063000,120797000,484683000,135868000,484683000
ST,의류,Outer,PD,패딩,54780000,0.2439,498000,0.4167,5976000,0.1573,0.1086,-0.0619,0.2016,5976000,55029000,37991000,222789000,44921000,222789000
ST,의류,Outer,WJ,방풍자켓,543420000,0.8499,1584000,6.1158,39763000,0.3375,0.0714,-0.1200,0.2044,39763000,557024000,117819000,615709000,125843000,615709000
ST,의류,Wear_etc,BR,브라,0,0.0000,0,,0,0.0000,,,0.0989,0,0,3560000,38715000,3827000,38715000
V,의류,Bottom,LG,레깅스,0,0.0000,0,0.0000,0,0.0000,,,0.1019,0,0,1440000,18840000,1920000,18840000
V,의류,Bottom,PT,팬츠,1708400000,0.5786,26040000,17.1316,446460000,2.9082,0.2556,0.0920,0.2087,446460000,1746910000,153520000,938550000,195920000,938550000
V,의류,Bottom,SK,스커트,99000000,,330000,,26400000,,0.2597,,,26400000,101640000,0,0,0,0
V,의류,Bottom,SP,반바지,91000000,0.7496,450000,0.5233,27440000,1.6560,0.3071,0.1678,0.1909,27440000,89350000,16570000,118950000,22710000,118950000
