브랜드,구분,종료일,유통채널,채널명,실판매출
I,당년,2025-11-16,01,백화점,590889560
I,전년,2025-11-16,01,백화점,588562080
I,당년,2025-11-16,02,면세점,126482600
I,전년,2025-11-16,02,면세점,283362900
I,당년,2025-11-16,03,직영점(가두),28969000
I,전년,2025-11-16,03,직영점(가두),29629600
I,당년,2025-11-16,04,자사몰,191234730
I,전년,2025-11-16,04,자사몰,67014206
I,당년,2025-11-16,05,제휴몰,289393800
I,전년,2025-11-16,05,제휴몰,140683800
I,당년,2025-11-16,06,대리점,174869636
I,전년,2025-11-16,06,대리점,221552209
I,당년,2025-11-16,08,사입,610602830
I,전년,2025-11-16,08,사입,269780981
I,당년,2025-11-16,11,직영몰,65732110
I,전년,2025-11-16,11,직영몰,60595800
I,당년,2025-11-16,99,기타,3362150
I,전년,2025-11-16,99,기타,6331953
M,당년,2025-11-16,01,백화점,1507918400
M,전년,2025-11-16,01,백화점,1807327160
M,당년,2025-11-16,02,면세점,2648110100
M,전년,2025-11-16,02,면세점,2538642900
M,당년,2025-11-16,03,직영점(가두),506925600
M,전년,2025-11-16,03,직영점(가두),332581600
M,당년,2025-11-16,04,자사몰,267258799
M,전년,2025-11-16,04,자사몰,192332764
M,당년,2025-11-16,05,제휴몰,493455100
M,전년,2025-11-16,05,제휴몰,434702600
M,당년,2025-11-16,06,대리점,1284637564
M,전년,2025-11-16,06,대리점,1138625211
M,당년,2025-11-16,08,사입,812537134
M,전년,2025-11-16,08,사입,1079759559
M,당년,2025-11-16,11,직영몰,119060400
M,전년,2025-11-16,11,직영몰,126976600
M,당년,2025-11-16,99,기타,17170724
M,전년,2025-11-16,99,기타,4370747
M,당년,2025-11-16,RF,RF,456563110
M,전년,2025-11-16,RF,RF,421818730
ST,당년,2025-11-16,01,백화점,1922670
ST,전년,2025-11-16,01,백화점,22814580
ST,당년,2025-11-16,02,면세점,28123820
ST,전년,2025-11-16,02,면세점,48639800
ST,당년,2025-11-16,03,직영점(가두),24598100
ST,당년,2025-11-16,04,자사몰,20084360
ST,전년,2025-11-16,04,자사몰,42433500
ST,당년,2025-11-16,05,제휴몰,64267700
ST,전년,2025-11-16,05,제휴몰,23210640
