브랜드코드,카테고리,아이템,아이템명,판매수량,판매매출,전년비,비중,4주평균판매량,재고,재고금액,재고주수,전년재고주수,재고주수차이(당년-전년)
M,Shoes,MU,뮬,1523,49427950,751%,1%,425,45773,3200242766,107.7,502.4,-394.7
M,Headwear,HT,햇,723,41840844,80%,1%,812,42286,2558710169,52.1,114.3,-62.2
M,Headwear,WM,방한모,436,32820003,286%,0%,721,5522,417036642,7.7,53.2,-45.5
M,Acc_etc,MF,머플러(스카프),126,10542024,78%,0%,248,4141,411330200,16.7,46.5,-29.8
M,Acc_etc,SO,양말,520,8322390,94%,0%,678,70297,1139494230,103.7,143.0,-39.3
M,Acc_etc,PO,파우치,218,7342974,127%,0%,266,16229,546074000,61.0,44.2,16.8
M,Bag,BK,백팩,37,4923829,28%,0%,41,15589,1896336475,380.2,305.0,75.2
M,Acc_etc,ET,기타,173,4158649,120%,0%,248,6386,147145100,25.8,93.5,-67.7
M,Shoes,LP,슬리퍼,22,1259944,299%,0%,30,45346,3133040500,1511.5,3198.6,-1687.1
M,Acc_etc,GL,장갑,20,772925,,0%,40,1564,60995800,39.1,,
M,Shoes,SD,샌들,4,274000,137%,0%,4,53584,5579837862,13396.0,28050.5,-14654.5
M,Headwear,CB,여성 베레모,0,0,0%,0%,0,7,663694,,48.1,
M,Acc_etc,JC,귀걸이,0,0,,0%,0,0,-200,,,
M,Acc_etc,ML,토시,0,0,,0%,0,812,16765400,,,
M,Headwear,SC,선캡,0,0,,0%,0,2281,95526400,,,
M,Shoes,SQ,아쿠아 슈즈,0,0,,0%,0,9202,699121546,,,
M,Acc_etc,HH,캐리어(하드케이스),0,0,0%,0%,3,845,211395000,281.7,54.3,227.3
M,Acc_etc,TW,타올,0,0,,0%,0,1,99000,,,
M,Shoes,CV,캔버스화,0,0,,0%,0,12,1178200,,,
M,Headwear,MC,메시캡,0,0,,0%,4,6168,351289756,1542.0,,
M,Bag,BW,보스톤백,0,0,,0%,0,658,118194537,,1969.3,
M,Acc_etc,GA,선글라스,0,0,,0%,0,2509,383841000,,,
M,Acc_etc,MK,마스크(패션용),0,0,,0%,0,8,435000,,,
ST,Shoes,SH,신발,60,5380780,119%,35%,76,8563,1921127000,112.7,351.2,-238.5
ST,Headwear,CP,운동모,90,4029260,153%,27%,47,6641,356433000,141.3,95.4,45.9
ST,Headwear,SC,선캡,19,1253100,75%,8%,15,2680,195820000,178.7,127.1,51.5
ST,Bag,BK,백팩,8,1238690,57%,8%,5,1498,252832000,299.6,113.8,185.8
ST,Acc_etc,SO,양말,57,921450,119%,6%,59,9674,186566200,164.0,204.8,-40.8
ST,Bag,RB,라켓백,4,802300,77%,5%,5,947,177083000,189.4,116.8,72.7
ST,Bag,BW,보스톤백,4,733500,173%,5%,4,523,127537000,130.8,359.0,-228.3
ST,Bag,TG,토드백,4,482400,61%,3%,7,1591,240919000,227.3,125.6,101.7
ST,Headwear,BN,비니,3,180100,57%,1%,5,639,41581000,127.8,45.4,82.4
ST,Headwear,HT,햇,4,91700,44%,1%,2,836,62244000,418.0,752.3,-334.3
ST,Acc_etc,RK,라켓,1,71400,,0%,1,508,36252000,508.0,,
ST,Acc_etc,HB,헤드밴드,4,70100,-1753%,0%,5,801,23297000,160.2,406.7,-246.5
ST,Acc_etc,PR,보호대,2,31500,19%,0%,3,2037,54198000,679.0,340.1,338.9
ST,Acc_etc,AM,머플러,0,9900,11%,0%,2,390,36640000,195.0,79.7,115.3
ST,Acc_etc,AC,기타소품류,0,0,,0%,0,1289,36111700,,227.3,
ST,Acc_etc,TW,타올,0,0,,0%,0,1590,109710000,,,
ST,Bag,SG,슬링백,0,0,0%,0%,0,130,12870000,,338.0,
ST,Acc_etc,LL,볼,0,0,,0%,0,34,510000,,,
ST,Shoes,LP,슬리퍼,0,0,,0%,0,587,58113000,,,
ST,Bag,CR,크로스백,-1,-109000,,-1%,1,512,51938000,512.0,645.0,-133.0
V,Shoes,WB,방한화,116,24443830,222%,54%,181,3389,798721000,18.7,13.4,5.3
V,Bag,TG,토드백,22,6482960,210%,14%,26,4196,1496340000,161.4,54.9,106.5
V,Bag,BK,백팩,9,3083900,106%,7%,10,587,213910000,58.7,26.8,32.0
V,Headwear,HT,햇,15,2438600,111%,5%,17,1423,259920000,83.7,156.0,-72.3
V,Headwear,BN,비니,11,1670000,112%,4%,19,860,163190000,45.3,32.5,12.8
V,Acc_etc,AG,장갑,11,1327500,136%,3%,15,277,46750000,18.5,47.8,-29.4
V,Bag,CR,크로스백,6,1321000,53%,3%,5,1445,388360000,289.0,94.5,194.5
V,Shoes,SH,신발,12,1028400,16%,2%,20,896,253284000,44.8,252.3,-207.5
V,Bag,BG,가방,3,945000,,2%,2,451,129250000,225.5,,
V,Acc_etc,DC,다운 스카프,5,932000,,2%,4,368,93360000,92.0,106.0,-14.0
V,Acc_etc,ML,토시,4,468500,-515%,1%,10,164,24180000,16.4,34.5,-18.1
V,Headwear,CP,운동모,4,458120,34%,1%,9,592,76800000,65.8,123.3,-57.6
V,Bag,TA,벨트백,2,220400,100%,0%,2,22,6310000,11.0,109.0,-98.0
V,Acc_etc,SO,양말,12,216000,18%,0%,18,967,31404000,53.7,114.0,-60.3
V,Shoes,LP,슬리퍼,1,175000,,0%,0,404,70700000,,,
V,Headwear,WM,방한모,1,130000,15%,0%,2,183,39650000,91.5,45.3,46.2
V,Shoes,MU,뮬,1,107400,,0%,1,110,19690000,110.0,,
V,Bag,HS,힙색,1,90000,67%,0%,2,100,22840000,50.0,,
V,Acc_etc,GL,장갑,0,0,,0%,0,21,2268000,,,
V,Bag,EB,기타가방,0,0,0%,0%,0,16,4000000,,21.5,
V,Acc_etc,PO,파우치,0,0,0%,0%,0,10,3500000,,,
V,Headwear,SC,선캡,0,0,0%,0%,0,193,31170000,,186.0,
V,Acc_etc,MF,머플러(스카프),-1,-447000,,-1%,4,702,206460000,175.5,,
W,Shoes,SH,신발,48,2463680,32%,48%,41,2555,479456904,62.3,168.6,-106.3
W,Headwear,CP,운동모,64,1422550,86%,27%,66,3910,236833173,59.2,333.8,-274.6
W,Bag,BG,가방,11,243960,224%,5%,11,1790,225320000,162.7,2064.0,-1901.3
W,Bag,BW,보스톤백,4,195470,,4%,3,221,41169000,73.7,,
W,Bag,BK,백팩,3,147000,132%,3%,4,1360,202680936,340.0,401.4,-61.4
W,Headwear,BN,비니,8,142000,40%,3%,14,159,8557956,11.4,91.0,-79.6
W,Shoes,WB,방한화,5,140100,217%,3%,5,156,20124000,31.2,249.0,-217.8
W,Shoes,LP,슬리퍼,5,125000,71%,2%,2,583,40840145,291.5,760.0,-468.5
W,Headwear,HT,햇,5,105000,,2%,5,2091,150498000,418.2,2819.0,-2400.8
W,Bag,TG,토드백,2,58000,,1%,1,143,17017000,143.0,,
W,Bag,CR,크로스백,2,56000,22%,1%,3,636,48894000,212.0,231.5,-19.5
W,Headwear,WM,방한모,1,39000,,1%,1,78,7722000,78.0,33.0,45.0
W,Bag,HS,힙색,1,28260,40%,1%,1,288,21522000,288.0,380.0,-92.0
W,Acc_etc,SO,양말,2,11000,4%,0%,0,61,1336000,,118.0,
W,Headwear,SC,선캡,0,0,,0%,0,166,8134000,,,
X,Bag,BK,백팩,5118,730970120,95%,45%,4779,175318,28602451320,36.7,39.0,-2.3
X,Shoes,SH,신발,6473,601131239,86%,37%,7263,349341,41738971310,48.1,57.5,-9.4
X,Acc_etc,DC,다운 스카프,1706,68830788,157%,4%,2656,41108,1896066000,15.5,10.2,5.3
X,Bag,CR,크로스백,656,34079269,136%,2%,767,47041,3703519400,61.3,110.2,-48.9
X,Headwear,CP,운동모,946,33370690,107%,2%,1137,92357,4240699200,81.2,82.3,-1.1
X,Headwear,BN,비니,801,25522416,127%,2%,1217,17623,889611600,14.5,25.1,-10.6
X,Shoes,LP,슬리퍼,523,24513994,168%,1%,444,56389,2755647500,127.0,65.5,61.5
X,Bag,SG,슬링백,311,20704658,114%,1%,313,24221,2261280600,77.4,95.0,-17.7
X,Bag,TG,토드백,523,19805923,95%,1%,567,25858,1532076770,45.6,64.5,-18.9
X,Bag,MR,메신저백,205,16259126,61%,1%,207,14002,1548080700,67.6,60.1,7.5
X,Acc_etc,GL,장갑,294,11826206,101%,1%,483,8002,504944000,16.6,34.1,-17.6
X,Bag,BG,가방,150,11803366,331%,1%,74,5306,675174000,71.7,161.5,-89.7
X,Headwear,WM,방한모,179,11405759,,1%,344,5422,374412000,15.8,,
X,Acc_etc,AC,기타소품류,467,11324221,79%,1%,644,6593,268433000,10.2,34.6,-24.3
X,Acc_etc,SO,양말,631,5893325,143%,0%,837,97787,1143134900,116.8,130.0,-13.1
X,Headwear,HT,햇,122,4664130,37%,0%,156,31851,2090241700,204.2,206.8,-2.7
X,Bag,HS,힙색,86,3819585,198%,0%,72,6972,533002900,96.8,246.6,-149.8
X,Acc_etc,MS,멀티스카프,130,3233765,76%,0%,177,4415,175874900,24.9,40.8,-15.8
X,Bag,BZ,바디백,11,1099000,,0%,5,1570,164050000,314.0,,
X,Acc_etc,MK,마스크(패션용),32,967140,138%,0%,45,3020,126088000,67.1,34.0,33.1
X,Bag,BW,보스톤백,14,695200,80%,0%,20,2788,296482000,139.4,308.9,-169.5
X,Acc_etc,ML,토시,12,170153,756%,0%,9,7400,193720000,822.2,3334.6,-2512.4
X,Headwear,MC,메시캡,3,137521,,0%,1,1497,73353000,1497.0,,
X,Bag,EC,에코백,0,0,,0%,0,0,71100,,,
X,Acc_etc,PO,파우치,0,0,,0%,0,23,1239000,,,
