브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
W,4.0,자사몰,Headwear,비니,BN,1349000,431190,391996,391996,214060,177936
W,4.0,자사몰,Headwear,선캡,SC,49000,19000,17273,17273,9910,7363
W,4.0,자사몰,Headwear,운동모,CP,14528000,4083561,3713452,3713452,2969494,743958
W,4.0,자사몰,Headwear,햇,HT,1487000,370000,336369,336369,291492,44877
W,4.0,자사몰,Shoes,방한화,WB,1677000,373300,339368,339368,167700,171668
W,4.0,자사몰,Shoes,슬리퍼,LP,355000,131100,119183,119183,73828,45355
W,4.0,자사몰,Shoes,신발,SH,22899000,5667820,5152560,5152560,4726046,426514
W,4.0,자사몰,과시즌의류,긴팔티셔츠,RL,8127000,2917370,2652187,2652187,1554953,1097234
W,4.0,자사몰,과시즌의류,니트베스트,KV,278000,35820,32564,32564,2528,30036
W,4.0,자사몰,과시즌의류,다운베스트,DV,1593000,503000,457271,457271,229380,227891
