브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
I,1.0,백화점,Acc_etc,기타,ET,2026000,1910820,1737108,1100154,586369,513785
I,1.0,백화점,Acc_etc,머플러(스카프),MF,939000,823660,748780,474696,190553,284143
I,1.0,백화점,Acc_etc,양말,SO,3454000,3192570,2902354,1853031,816079,1036952
I,1.0,백화점,Acc_etc,장갑,GL,2311000,2181860,1983518,1258218,559168,699050
I,1.0,백화점,Bag,가방,BG,1419000,1367270,1242977,787550,357297,430253
I,1.0,백화점,Bag,백팩,BK,361181000,300913290,273557860,174364822,81716346,92648476
I,1.0,백화점,Bag,보조가방,UB,6076000,5699310,5181199,3312986,1507745,1805241
I,1.0,백화점,Bag,슬링백,SG,237000,237000,215455,136454,51987,84467
I,1.0,백화점,Bag,크로스백,CR,333262000,322198310,292907582,184759967,90721579,94038388
I,1.0,백화점,Bag,힙색,HS,354000,338810,308008,194046,69553,124493
I,1.0,백화점,Headwear,방한모,WM,18487000,17573700,15976077,10190992,3591509,6599483
I,1.0,백화점,Headwear,비니,BN,22772000,21675570,19705016,12538924,4974322,7564602
I,1.0,백화점,Headwear,와이어캡,WR,441000,426800,388003,244843,83776,161067
I,1.0,백화점,Headwear,운동모,CP,34658000,32748850,29771578,18972225,7462029,11510196
I,1.0,백화점,Headwear,햇,HT,212000,206700,187907,118381,37152,81229
I,1.0,백화점,Shoes,런닝화,RN,28653000,27128490,24662220,15726819,7026715,8700104
I,1.0,백화점,Shoes,방한화,WB,35840000,33183120,30166419,19246403,8692057,10554346
I,1.0,백화점,Shoes,스니커즈,SX,11581000,10663250,9693853,6167700,2618396,3549304
I,1.0,백화점,Shoes,신발,SH,28289000,26656190,24232908,15429013,6640032,8788981
I,1.0,백화점,과시즌의류,다운점퍼,DJ,2790000,1395000,1268180,798956,430753,368203
I,1.0,백화점,과시즌의류,맨투맨,MT,59000,29500,26818,16895,9179,7716
I,1.0,백화점,과시즌의류,반팔카라티셔츠,TS,594000,555210,504732,318853,139737,179116
I,1.0,백화점,과시즌의류,반팔티 & 스웨트팬츠,S1,447000,223490,203181,128004,68871,59133
I,1.0,백화점,과시즌의류,베이비,BV,1180000,1119160,1017415,649435,355720,293715
I,1.0,백화점,당시즌의류,다운베스트,DV,7465000,6980000,6345456,4022353,2050377,1971976
I,1.0,백화점,당시즌의류,다운점퍼,DJ,185759000,170841340,155310279,98889838,47493539,51396299
I,1.0,백화점,당시즌의류,레깅스,LG,869000,757100,688271,437713,247455,190258
I,1.0,백화점,당시즌의류,맨투맨,MT,25897000,23889900,21718043,13801229,7272678,6528551
I,1.0,백화점,당시즌의류,맨투맨셋트,S2,42349000,39634420,36031276,22942989,11690698,11252291
I,1.0,백화점,당시즌의류,반팔카라티셔츠,TS,527000,477820,434379,273658,143533,130125
I,1.0,백화점,당시즌의류,우븐팬츠,WP,17642000,16392430,14902211,9475345,4614575,4860770
I,1.0,백화점,당시즌의류,점퍼,JP,1162000,1047230,952030,608540,322006,286534
I,1.0,백화점,당시즌의류,진바지,DP,7197000,6697730,6088825,3865376,1761303,2104073
I,1.0,백화점,당시즌의류,패딩,PD,2862000,2769630,2517850,1625505,816501,809004
I,1.0,백화점,당시즌의류,팬츠,PT,13828000,12784740,11622482,7384738,3737494,3647244
I,1.0,백화점,당시즌의류,폴라폴리스점퍼,FD,1807000,1706580,1551447,981095,504127,476968
I,1.0,백화점,당시즌의류,후드티,HD,6486000,6053150,5502874,3489158,1841324,1647834
I,1.0,백화점,차시즌의류,맨투맨,MT,13816000,12718060,11561881,7351936,3481014,3870922
I,1.0,백화점,차시즌의류,맨투맨셋트,S2,38567000,36064920,32786292,20855265,9712414,11142851
I,1.0,백화점,차시즌의류,우븐팬츠,WP,1178000,1110530,1009564,641884,297074,344810
I,1.0,백화점,차시즌의류,점퍼,JP,31364000,29192810,26538896,16929154,7505166,9423988
I,1.0,백화점,차시즌의류,진바지,DP,436000,416570,378700,245346,127845,117501
I,1.0,백화점,차시즌의류,팬츠,PT,5230000,4894520,4449579,2830902,1247505,1583397
I,1.0,백화점,차시즌의류,후드티,HD,4931000,4605690,4186985,2655832,1187802,1468030
I,2.0,면세점,Acc_etc,기타,ET,89000,89000,80909,48545,25993,22552
I,2.0,면세점,Acc_etc,머플러(스카프),MF,1801000,1801000,1637268,982358,373483,608875
I,2.0,면세점,Acc_etc,양말,SO,2173400,2173420,1975826,1185483,504569,680914
I,2.0,면세점,Bag,백팩,BK,9564000,9213600,8375999,5025600,2189428,2836172
I,2.0,면세점,Bag,보조가방,UB,147000,147000,133635,80181,36477,43704
I,2.0,면세점,Bag,슬링백,SG,79000,79000,71818,43091,17329,25762
I,2.0,면세점,Bag,크로스백,CR,244426000,244425690,222205163,133322280,62129674,71192606
I,2.0,면세점,Headwear,방한모,WM,3898000,3835900,3487182,2092305,743547,1348758
I,2.0,면세점,Headwear,비니,BN,17406000,17405990,15823573,9494130,3735503,5758627
I,2.0,면세점,Headwear,와이어캡,WR,931000,931000,846355,507813,178501,329312
I,2.0,면세점,Headwear,운동모,CP,53600000,53600110,48727241,29236307,11384304,17852003
I,2.0,면세점,Headwear,햇,HT,53000,53000,48182,28909,9288,19621
I,2.0,면세점,Shoes,런닝화,RN,5442000,5442000,4947255,2968351,1308574,1659777
I,2.0,면세점,Shoes,방한화,WB,1682000,1682000,1529084,917446,382269,535177
I,2.0,면세점,Shoes,스니커즈,SX,7477000,7477000,6797242,4078340,1604351,2473989
I,2.0,면세점,Shoes,신발,SH,6231000,6231000,5664539,3398718,1413139,1985579
I,2.0,면세점,과시즌의류,반팔카라티셔츠,TS,33000,23100,21000,12600,7355,5245
I,2.0,면세점,과시즌의류,베이비,BV,177000,177000,160911,96546,53358,43188
I,2.0,면세점,당시즌의류,다운베스트,DV,417000,417000,379089,227454,115349,112105
I,2.0,면세점,당시즌의류,다운점퍼,DJ,66653000,66653000,60593639,36356180,17264361,19091819
I,2.0,면세점,당시즌의류,맨투맨,MT,7044000,7044000,6403638,3842165,1989679,1852486
I,2.0,면세점,당시즌의류,맨투맨셋트,S2,5668000,5668000,5152736,3091648,1544865,1546783
I,2.0,면세점,당시즌의류,반팔카라티셔츠,TS,59000,59000,53637,32182,17855,14327
I,2.0,면세점,당시즌의류,우븐팬츠,WP,2288000,2288000,2079984,1247991,588134,659857
I,2.0,면세점,당시즌의류,진바지,DP,436000,436000,396360,237816,100864,136952
I,2.0,면세점,당시즌의류,패딩,PD,795000,795000,722725,433635,226805,206830
I,2.0,면세점,당시즌의류,팬츠,PT,1243000,1243000,1129999,677998,342518,335480
I,2.0,면세점,당시즌의류,폴라폴리스점퍼,FD,1529000,1529000,1389993,833998,426569,407429
I,2.0,면세점,당시즌의류,후드티,HD,2396000,2396000,2178176,1306905,679747,627158
I,2.0,면세점,차시즌의류,맨투맨,MT,9269000,9268980,8426320,5055778,2200547,2855231
I,2.0,면세점,차시즌의류,맨투맨셋트,S2,7502000,7502000,6820016,4092002,1846214,2245788
I,2.0,면세점,차시즌의류,점퍼,JP,5770000,5770000,5245440,3147260,1406532,1740728
I,2.0,면세점,차시즌의류,진바지,DP,109000,109000,99090,59454,31961,27493
I,2.0,면세점,차시즌의류,팬츠,PT,1849000,1849010,1680927,1008550,405707,602843
I,2.0,면세점,차시즌의류,후드티,HD,1215000,1215000,1104543,662721,287196,375525
I,3.0,직영점(가두),Acc_etc,기타,ET,267000,267000,242727,242727,77979,164748
I,3.0,직영점(가두),Acc_etc,양말,SO,28800,28800,26182,26182,7983,18199
I,3.0,직영점(가두),Acc_etc,장갑,GL,98000,98000,89090,89090,27054,62036
I,3.0,직영점(가두),Bag,가방,BG,363000,363000,330000,330000,91403,238597
I,3.0,직영점(가두),Bag,백팩,BK,6088000,5945800,5405272,5405272,1366328,4038944
I,3.0,직영점(가두),Bag,보조가방,UB,245000,245000,222725,222725,60796,161929
I,3.0,직영점(가두),Bag,슬링백,SG,158000,158000,143636,143636,34658,108978
I,3.0,직영점(가두),Bag,크로스백,CR,414000,414000,376362,376362,83006,293356
I,3.0,직영점(가두),Bag,힙색,HS,118000,118000,107272,107272,23184,84088
I,3.0,직영점(가두),Headwear,방한모,WM,1622000,1602000,1456359,1456359,332045,1124314
I,3.0,직영점(가두),Headwear,비니,BN,3270000,3270000,2972720,2972720,709229,2263491
I,3.0,직영점(가두),Headwear,와이어캡,WR,49000,49000,44545,44545,9664,34881
I,3.0,직영점(가두),Headwear,운동모,CP,3373000,3373000,3066366,3066366,730349,2336017
