브랜드,시즌,유통채널,채널명,고객,PH01-1,아이템_대분류,PH01-2,아이템_중분류,PH01-3,아이템코드,아이템_소분류,합계 : 1. 매출액 Actual,합계 : 제품/상품 매출액 Actual,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 수수료차감매출 Actual,합계 : 출고매출액(V-) Actual,합계 : 2. 매출원가 Actual,합계 : 표준 매출원가,표준제간비,재고평가감 환입,매출원가(평가감환입반영),매출총이익
I,22F,6.0,대리점,100614.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,49649,49649,0,65800,59818,54614,49649,0,0,0,0,0,49649
I,22F,8.0,사입,103413.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140009,WM,방한모,-18818,-18818,-69000,-20700,-18818,-20700,-18818,-11767,-11767,-1306,11139,-1934,-16884
I,23F,2.0,면세점,100883.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140009,WM,방한모,79035,79035,207000,144900,131727,86939,79035,38109,38109,4496,-29640,12965,66070
I,23F,8.0,사입,100967.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150008,WB,방한화,29727,29727,109000,32700,29727,32700,29727,23272,23272,2746,-18812,7206,22521
I,23F,8.0,사입,105260.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150008,WB,방한화,-29727,-29727,-109000,-32700,-29727,-32700,-29727,-23272,-23272,-2746,18812,-7206,-22521
I,23F,8.0,사입,105514.0,A0100,Acc_etc,A0100A0120,Acc_etc,A0100A0120A0120021,GL,장갑,-13409,-13409,-59000,-14750,-13409,-14750,-13409,-7822,-7822,-923,5408,-3337,-10072
I,23N,1.0,백화점,100599.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,34548,34548,66000,60320,54838,38003,34548,10400,10400,1206,0,11606,22942
I,23N,1.0,백화점,100649.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,33791,33791,59000,59000,53636,37170,33791,14672,14672,1702,0,16374,17417
I,23N,1.0,백화점,100748.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,217339,217339,413000,379480,344982,239073,217339,102704,102704,11913,0,114617,102722
I,23N,1.0,백화점,100756.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,67582,67582,118000,118000,107272,74340,67582,29344,29344,3403,0,32747,34835
I,23N,1.0,백화점,100767.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,30927,30927,59000,54000,49091,34020,30927,14672,14672,1702,0,16374,14553
I,23N,1.0,백화점,100782.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,61282,61282,118000,107000,97272,67410,61282,29344,29344,3403,0,32747,28535
I,23N,1.0,백화점,100804.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,-34327,-34327,-59000,-59000,-53636,-37760,-34327,-14672,-14672,-1702,0,-16374,-17953
I,23N,1.0,백화점,100809.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,101373,101373,177000,177000,160908,111510,101373,44016,44016,5105,0,49121,52252
I,23N,1.0,백화점,100857.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,156350,156350,295000,272990,248173,171985,156350,75610,75610,8770,0,84380,71970
I,23N,1.0,백화점,100857.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,30544,30544,59000,53330,48482,33598,30544,14672,14672,1702,0,16374,14170
