브랜드,시즌,유통채널,채널명,고객,PH01-1,아이템_대분류,PH01-2,아이템_중분류,PH01-3,아이템코드,아이템_소분류,합계 : 1. 매출액 Actual,합계 : 제품/상품 매출액 Actual,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 수수료차감매출 Actual,합계 : 출고매출액(V-) Actual,합계 : 2. 매출원가 Actual,합계 : 표준 매출원가,표준제간비,재고평가감 환입,매출원가(평가감환입반영),매출총이익
I,22F,6.0,대리점,100614.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,49649,49649,0,65800,59818,54614,49649,0,0,0,0,0,49649
I,22F,8.0,사입,103413.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140009,WM,방한모,-18818,-18818,-69000,-20700,-18818,-20700,-18818,-11767,-11767,-1306,11139,-1934,-16884
I,22N,99.0,기타,101866.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,19800,19800,33000,21780,19800,21780,19800,5615,5615,550,0,6165,13635
I,22N,99.0,기타,101866.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,35400,35400,59000,38940,35400,38940,35400,12921,12921,1266,0,14187,21213
I,23F,2.0,면세점,100883.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140009,WM,방한모,79035,79035,207000,144900,131727,86939,79035,38109,38109,4496,-29640,12965,66070
I,23F,8.0,사입,100895.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,-59727,-59727,-219000,-65700,-59727,-65700,-59727,-43603,-43603,-5145,34643,-14105,-45622
I,23F,8.0,사입,100967.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150008,WB,방한화,29727,29727,109000,32700,29727,32700,29727,23272,23272,2746,-18812,7206,22521
I,23F,8.0,사입,100967.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,-166318,-166318,-668000,-182950,-166318,-182950,-166318,-137496,-137496,-16224,110168,-43552,-122766
I,23F,8.0,사입,102197.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,-81591,-81591,-359000,-89750,-81591,-89750,-81591,-70493,-70493,-8318,55806,-23005,-58586
I,23F,8.0,사입,105260.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150008,WB,방한화,-29727,-29727,-109000,-32700,-29727,-32700,-29727,-23272,-23272,-2746,18812,-7206,-22521
I,23F,8.0,사입,105260.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,166318,166318,668000,182950,166318,182950,166318,137496,137496,16224,-110168,43552,122766
I,23F,8.0,사입,105513.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120007,KP,니트풀오버,-31591,-31591,-139000,-34750,-31591,-34750,-31591,-19553,-19553,-2307,13866,-7994,-23597
I,23F,8.0,사입,105514.0,A0100,Acc_etc,A0100A0120,Acc_etc,A0100A0120A0120021,GL,장갑,-13409,-13409,-59000,-14750,-13409,-14750,-13409,-7822,-7822,-923,5408,-3337,-10072
I,23F,8.0,사입,105514.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,-174000,-174000,-638000,-191400,-174000,-191400,-174000,-143986,-143986,-16990,117886,-43090,-130910
I,23N,1.0,백화점,100599.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,34548,34548,66000,60320,54838,38003,34548,10400,10400,1206,0,11606,22942
I,23N,1.0,백화점,100649.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,67582,67582,118000,118000,107272,74340,67582,29344,29344,3403,0,32747,34835
