브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
I,1.0,백화점,Acc_etc,기타,ET,611000,541740,492497,314963,154370,160593
I,1.0,백화점,Acc_etc,머플러(스카프),MF,573000,478800,435271,274220,110948,163272
I,1.0,백화점,Acc_etc,양말,SO,2463700,2381370,2164855,1379257,572739,806518
I,1.0,백화점,Acc_etc,장갑,GL,1210000,1147990,1043634,661609,298478,363131
I,1.0,백화점,Bag,가방,BG,396000,363620,330553,210798,99709,111089
I,1.0,백화점,Bag,백팩,BK,202453000,165991920,150901896,96016903,46024377,49992526
I,1.0,백화점,Bag,보조가방,UB,3283000,2912400,2647642,1683503,814664,868839
I,1.0,백화점,Bag,슬링백,SG,395000,355500,323181,203532,86645,116887
I,1.0,백화점,Bag,크로스백,CR,451206000,438336730,398487943,251909501,114660383,137249118
I,1.0,백화점,Bag,힙색,HS,236000,212400,193089,123094,46369,76725
I,1.0,백화점,Headwear,방한모,WM,4460000,4018640,3653311,2319323,866590,1452733
I,1.0,백화점,Headwear,비니,BN,9169000,8480570,7709579,4898918,1766964,3131954
I,1.0,백화점,Headwear,와이어캡,WR,441000,383110,348276,221196,83777,137419
I,1.0,백화점,Headwear,운동모,CP,34910000,32467040,29515418,18783174,7425377,11357797
I,1.0,백화점,Headwear,햇,HT,825000,669340,608504,387203,156988,230215
I,1.0,백화점,Shoes,런닝화,RN,63740000,51206910,46551738,29719339,15830471,13888868
I,1.0,백화점,Shoes,방한화,WB,7293000,6347040,5770028,3640796,1804719,1836077
I,1.0,백화점,Shoes,스니커즈,SX,11757000,10344820,9404421,5975202,2565028,3410174
I,1.0,백화점,Shoes,신발,SH,38886000,36188550,32898663,21018576,8851397,12167179
I,1.0,백화점,과시즌의류,맨투맨,MT,29382000,14690930,13355364,8616899,7559500,1057399
I,1.0,백화점,과시즌의류,맨투맨셋트,S2,86037000,43018300,39107524,26328568,23174783,3153785
I,1.0,백화점,과시즌의류,반팔카라티셔츠,TS,792000,744890,677181,428724,186318,242406
I,1.0,백화점,과시즌의류,베이비,BV,1239000,1210640,1100578,700747,373506,327241
I,1.0,백화점,과시즌의류,점퍼,JP,1611000,805500,732267,518284,454738,63546
