사업부,브랜드,고객,RF상권,시즌,당시즌/과시즌,정상/이관/이월,상품,PH01-1,PH01-2,PH01-3,MTyp,유통채널,판매수량,1. 매출액 Actual,제품/상품 매출액 Actual,판매금액(TAG가),실판매액,실판매액(V-),수수료차감매출 Actual,출고매출액(V-) Actual,관리매출액,마일리지 매출액,기타 매출액,2. 매출원가 Actual,표준 매출원가,표준 외주가공비,표준 부재료비,제품/상품기타COGS,기타 매출원가 Actual,기타 매출원가,기타 매출원가_재고자산폐기,3. 매출총이익 Actual,지급수수료-판매수수료,BUn,통화
10,X,102220.0,N,25F,A,A,X25FDWDJ9M056,L0100,L0100L0110,L0100L0110L0110005,ZFRT,7.0,1,235455,235455,279000,259000,235455,259001,235455,0,0,0,62300,62300,62300,0,0,0,0,0,173155,0,EA,KRW
10,I,100726.0,N,26N,A,A,I26N7ARNC1B6N,A0100,A0100A0150,A0100A0150A0150009,ZFRT,1.0,1,34036,34036,65000,58500,53181,37440,34036,0,0,0,13850,13850,13800,50,0,0,0,0,20186,19145,EA,KRW
10,M,104202.0,N,25F,A,A,M25F3AWPB1056,L0100,L0100L0130,L0100L0130L0130017,ZFRT,6.0,1,80873,80873,149000,139000,126364,88960,80873,0,0,0,28922,28922,28790,132,0,0,0,0,51951,45491,EA,KRW
10,M,100184.0,N,26S,A,A,M26S3AMTM0361,L0100,L0100L0120,L0100L0120L0120009,ZFRT,6.0,1,69236,69236,119000,119000,108181,76160,69236,0,0,0,17691,17691,17560,131,0,0,0,0,51545,38945,EA,KRW
10,M,104526.0,N,25N,A,A,M25N3ACPV315N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,1.0,2,47508,47508,78000,78000,70908,52259,47508,0,0,0,10854,10854,10760,94,0,0,0,0,36654,23400,EA,KRW
10,I,100970.0,N,26N,A,A,I26N7ASOB116N,A0100,A0100A0120,A0100A0120A0120044,ZFRT,1.0,1,17124,17124,29900,29900,27181,18836,17124,0,0,0,5984,5984,5930,54,0,0,0,0,11140,10057,EA,KRW
10,M,100194.0,N,21N,A,A,M21N3ACP7701N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,6.0,10,216000,216000,360000,360000,327270,237600,216000,0,0,0,61400,61400,58500,2900,0,0,0,0,154600,111270,EA,KRW
10,M,100444.0,Y,26N,A,A,M26N3ACPB126N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,3.0,6,267270,267270,294000,294000,267270,293997,267270,0,0,0,43944,43944,43620,324,0,0,0,0,223326,0,EA,KRW
10,I,103403.0,N,26N,A,A,I26N7ACPC026N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,5.0,1,44545,44545,49000,49000,44545,49000,44545,0,0,0,8544,8544,8490,54,0,0,0,0,36001,0,EA,KRW
10,M,105403.0,N,24N,A,A,M24N3ASXCMM4N,A0100,A0100A0150,A0100A0150A0150007,ZFRT,8.0,8,325456,325456,1432000,358000,325456,358002,325456,325456,0,0,208480,208480,207520,960,208480,0,0,0,116976,0,EA,KRW
10,X,103584.0,N,26N,A,A,X26NDXBK0136N,A0100,A0100A0130,A0100A0130A0130002,ZFRT,6.0,1,102936,102936,179000,169000,153636,113230,102936,0,0,0,39500,39500,39500,0,0,0,0,0,63436,50700,EA,KRW
10,X,101254.0,N,24F,C,C,X24FDXHD73046,L0100,L0100L0120,L0100L0120L0120004,ZFRT,7.0,2,108000,108000,198000,118800,108000,118800,108000,0,0,0,37780,37780,37780,0,0,0,0,0,70220,0,EA,KRW
