브랜드,시즌,유통채널,채널명,고객,PH01-1,아이템_대분류,PH01-2,아이템_중분류,PH01-3,아이템코드,아이템_소분류,합계 : 1. 매출액 Actual,합계 : 제품/상품 매출액 Actual,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 수수료차감매출 Actual,합계 : 출고매출액(V-) Actual,합계 : 2. 매출원가 Actual,합계 : 표준 매출원가,표준제간비,재고평가감 환입,매출원가(평가감환입반영),매출총이익
X,24F,6.0,대리점,104063.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),455782,455782,1457000,748300,680272,501362,455782,277120,277120,15795,-82411,210504,245278
X,24F,6.0,대리점,104068.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,3621471,3621471,11895000,5945700,5405181,3983619,3621471,2193390,2193390,125023,-603785,1714628,1906843
X,24F,6.0,대리점,104068.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110024,SS,소프트쉘,45377,45377,149000,74500,67727,49915,45377,30500,30500,1738,-10588,21650,23727
X,24F,6.0,대리점,104068.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120016,TL,긴팔카라티셔츠,94288,94288,258000,154800,140728,103717,94288,45620,45620,2600,-11141,37079,57209
X,24F,6.0,대리점,104068.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),62858,62858,258000,103200,93818,69144,62858,51300,51300,2924,-16821,37403,25455
X,24F,6.0,대리점,104068.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130009,PT,팬츠,111220,111220,387000,182620,166000,122342,111220,63920,63920,3643,-12202,55361,55859
X,24F,6.0,대리점,104068.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),33195,33195,109000,54500,49545,36515,33195,21000,21000,1197,-6433,15764,17431
X,24F,6.0,대리점,104086.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,-236060,-236060,-558000,-360700,-327909,-259666,-236060,-121330,-121330,-6915,46760,-81485,-154575
X,24F,6.0,대리점,104086.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110024,SS,소프트쉘,-34713,-34713,-129000,-51600,-46909,-38184,-34713,-26710,-26710,-1522,9470,-18762,-15951
X,24F,6.0,대리점,104086.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130008,LG,레깅스,-44100,-44100,-99000,-69300,-63000,-48510,-44100,-23570,-23570,-1343,10340,-14573,-29527
X,24F,6.0,대리점,104471.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,2741823,2741823,8250000,4435300,4032094,3016005,2741823,1607700,1607700,91638,-505200,1194138,1547685
X,24F,6.0,대리점,104471.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110024,SS,소프트쉘,269776,269776,835000,436400,396729,296754,269776,185860,185860,10594,-74273,122181,147595
X,24F,6.0,대리점,104471.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110027,WJ,방풍자켓,80055,80055,259000,129500,117728,88061,80055,53970,53970,3076,-19358,37688,42367
X,24F,6.0,대리점,104471.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120004,HD,후드티,36720,36720,99000,59400,54000,40392,36720,18150,18150,1034,-4920,14264,22456
X,24F,6.0,대리점,104471.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),55018,55018,178000,89000,80908,60520,55018,33760,33760,1924,-9972,25712,29306
X,24F,6.0,대리점,104471.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130009,PT,팬츠,52236,52236,169000,84500,76818,57460,52236,29590,29590,1686,-7005,24271,27965
X,24F,6.0,대리점,104471.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),26953,26953,109000,43600,39637,29648,26953,19000,19000,1083,-4433,15650,11303
